redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,red_height,blue_height,red_reach,blue_reach,red_stance,blue_stance
Devin Clark,Mike Rodriguez,Devin Clark,UFC 223: Khabib vs. Iaquinta,Dan Miragliotta,Decision - Unanimous,0,0,50 of 64,40 of 66,78%,60%,167 of 200,66 of 95,7 of 11,0 of 0,63%,---,0,0,3,5:00,"6' 0""","6' 4""","75""","82""",Orthodox,Southpaw
Fabricio Werdum,Alexander Volkov,Alexander Volkov,UFC Fight Night: Werdum vs. Volkov,Marc Goddard,KO/TKO,0,1,48 of 88,48 of 90,54%,53%,83 of 130,96 of 144,3 of 9,2 of 2,33%,100%,0,0,4,1:38,"6' 4""","6' 7""","77""","80""",Orthodox,Orthodox
Jimi Manuwa,Jan Blachowicz,Jan Blachowicz,UFC Fight Night: Werdum vs. Volkov,Leon Roberts,Decision - Unanimous,0,1,37 of 110,97 of 191,33%,50%,37 of 110,124 of 219,0 of 2,1 of 6,0%,16%,0,0,3,5:00,"6' 1""","6' 2""","79""","78""",Orthodox,Orthodox
Tom Duquesnoy,Terrion Ware,Tom Duquesnoy,UFC Fight Night: Werdum vs. Volkov,Grant Waterman,Decision - Unanimous,0,0,67 of 153,85 of 267,43%,31%,70 of 156,108 of 295,0 of 3,2 of 6,0%,33%,0,0,3,5:00,"5' 7""","5' 8""","68""","71""",Orthodox,Orthodox
Leon Edwards,Peter Sobotta,Leon Edwards,UFC Fight Night: Werdum vs. Volkov,Rich Mitchell,KO/TKO,1,0,42 of 86,16 of 43,48%,37%,71 of 117,57 of 90,1 of 2,1 of 4,50%,25%,0,0,3,4:59,"6' 2""","6' 0""","74""","75""",Southpaw,Southpaw
John Phillips,Charles Byrd,Charles Byrd,UFC Fight Night: Werdum vs. Volkov,Marc Goddard,Submission,0,0,0 of 1,11 of 14,0%,78%,1 of 2,34 of 41,0 of 0,1 of 1,---,100%,0,1,1,3:58,"5' 11""","5' 10""","75""","73""",Southpaw,Orthodox
Danny Roberts,Oliver Enkamp,Danny Roberts,UFC Fight Night: Werdum vs. Volkov,Leon Roberts,KO/TKO,1,0,4 of 10,7 of 12,40%,58%,4 of 10,8 of 14,0 of 0,0 of 1,---,0%,0,0,1,2:12,"6' 1""","6' 0""","74""","77""",Southpaw,Switch
Danny Henry,Hakeem Dawodu,Danny Henry,UFC Fight Night: Werdum vs. Volkov,Rich Mitchell,Submission,1,0,2 of 5,3 of 3,40%,100%,2 of 5,3 of 3,0 of 0,0 of 0,---,---,1,0,1,0:39,"6' 0""","5' 8""","73""","73""",Orthodox,Orthodox
Paul Craig,Magomed Ankalaev,Paul Craig,UFC Fight Night: Werdum vs. Volkov,Marc Goddard,Submission,0,0,18 of 50,59 of 96,36%,61%,34 of 70,89 of 129,2 of 7,0 of 0,28%,---,1,0,3,4:59,"6' 3""","6' 3""","76""","75""",Orthodox,Orthodox
Stevie Ray,Kajan Johnson,Kajan Johnson,UFC Fight Night: Werdum vs. Volkov,Leon Roberts,Decision - Split,0,0,24 of 62,33 of 54,38%,61%,37 of 78,37 of 58,3 of 4,2 of 4,75%,50%,1,0,3,5:00,"5' 10""","5' 11""","70""","75""",Southpaw,Orthodox
Mark Godbeer,Dmitry Sosnovskiy,Dmitry Sosnovskiy,UFC Fight Night: Werdum vs. Volkov,Grant Waterman,Submission,0,0,24 of 37,28 of 40,64%,70%,73 of 91,53 of 71,0 of 1,2 of 3,0%,66%,0,2,2,4:29,"6' 4""","6' 3""","77""","77""",Orthodox,Orthodox
Cristiane Justino,Yana Santos,Cristiane Justino,UFC 222: Cyborg vs. Kunitskaya,Herb Dean,KO/TKO,0,0,33 of 43,5 of 11,76%,45%,42 of 54,17 of 24,1 of 1,1 of 4,100%,25%,0,0,1,3:25,"5' 8""","5' 6""","68""","68""",Orthodox,Orthodox
Frankie Edgar,Brian Ortega,Brian Ortega,UFC 222: Cyborg vs. Kunitskaya,Jason Herzog,KO/TKO,0,1,27 of 77,25 of 76,35%,32%,27 of 77,25 of 77,0 of 1,0 of 0,0%,---,0,0,1,4:44,"5' 6""","5' 8""","68""","69""",Orthodox,Switch
Sean O'Malley,Andre Soukhamthath,Sean O'Malley,UFC 222: Cyborg vs. Kunitskaya,Mark Smith,Decision - Unanimous,0,0,63 of 111,25 of 60,56%,41%,73 of 121,42 of 79,0 of 0,4 of 7,---,57%,3,0,3,5:00,"5' 11""","5' 9""","72""","70""",Switch,Orthodox
Stefan Struve,Andrei Arlovski,Andrei Arlovski,UFC 222: Cyborg vs. Kunitskaya,Herb Dean,Decision - Unanimous,0,0,34 of 74,46 of 88,45%,52%,37 of 78,76 of 121,0 of 3,4 of 9,0%,44%,0,0,3,5:00,"6' 11""","6' 3""","84""","77""",Orthodox,Orthodox
Cat Zingano,Ketlen Vieira,Ketlen Vieira,UFC 222: Cyborg vs. Kunitskaya,Jason Herzog,Decision - Split,0,0,59 of 106,41 of 71,55%,57%,77 of 128,96 of 139,0 of 2,2 of 2,0%,100%,0,1,3,5:00,"5' 6""","5' 8""","68""","68""",Southpaw,Orthodox
Ashley Yoder,Mackenzie Dern,Mackenzie Dern,UFC 222: Cyborg vs. Kunitskaya,Chris Tognoni,Decision - Split,1,0,52 of 142,70 of 143,36%,48%,73 of 165,76 of 149,0 of 0,1 of 6,---,16%,0,1,3,5:00,"5' 7""","5' 4""","69""","63""",Southpaw,Orthodox
Beneil Dariush,Alexander Hernandez,Alexander Hernandez,UFC 222: Cyborg vs. Kunitskaya,Jason Herzog,KO/TKO,0,1,4 of 11,8 of 13,36%,61%,4 of 11,9 of 14,0 of 0,0 of 0,---,---,0,0,1,0:42,"5' 10""","5' 9""","72""","72""",Southpaw,Orthodox
John Dodson,Pedro Munhoz,John Dodson,UFC 222: Cyborg vs. Kunitskaya,Chris Tognoni,Decision - Split,0,0,76 of 184,69 of 172,41%,40%,76 of 184,73 of 176,0 of 0,1 of 1,---,100%,0,0,3,5:00,"5' 3""","5' 6""","66""","65""",Orthodox,Orthodox
CB Dollaway,Hector Lombard,CB Dollaway,UFC 222: Cyborg vs. Kunitskaya,Mark Smith,DQ,0,1,13 of 19,19 of 33,68%,57%,13 of 19,19 of 33,0 of 0,0 of 0,---,---,0,0,1,5:00,"6' 2""","5' 9""","76""","71""",Orthodox,Southpaw
Mike Pyle,Zak Ottow,Zak Ottow,UFC 222: Cyborg vs. Kunitskaya,Herb Dean,KO/TKO,0,1,4 of 20,22 of 50,20%,44%,4 of 20,26 of 56,0 of 0,0 of 0,---,---,0,0,1,2:34,"6' 0""","5' 11""","74""","72""",Orthodox,Orthodox
Bryan Caraway,Cody Stamann,Cody Stamann,UFC 222: Cyborg vs. Kunitskaya,Chris Tognoni,Decision - Split,0,0,59 of 168,95 of 166,35%,57%,116 of 236,115 of 186,1 of 23,0 of 1,4%,0%,0,0,3,5:00,"5' 8""","5' 6""","68""","64""",Orthodox,Orthodox
Jordan Johnson,Adam Milstead,Jordan Johnson,UFC 222: Cyborg vs. Kunitskaya,Mark Smith,Decision - Split,0,0,59 of 106,58 of 133,55%,43%,176 of 239,70 of 145,2 of 11,0 of 0,18%,---,0,0,3,5:00,"6' 2""","6' 3""","79""","76""",Orthodox,Orthodox
Josh Emmett,Jeremy Stephens,Jeremy Stephens,UFC Fight Night: Emmett vs. Stephens,Dan Miragliotta,KO/TKO,1,1,18 of 40,24 of 57,45%,42%,21 of 43,24 of 57,0 of 0,0 of 0,---,---,0,0,2,1:35,"5' 6""","5' 9""","70""","71""",Orthodox,Orthodox
Jessica Andrade,Tecia Torres,Jessica Andrade,UFC Fight Night: Emmett vs. Stephens,Kevin MacDonald,Decision - Unanimous,0,0,92 of 178,69 of 150,51%,46%,151 of 237,88 of 171,10 of 12,2 of 2,83%,100%,0,0,3,5:00,"5' 1""","5' 1""","62""","60""",Orthodox,Orthodox
Ovince Saint Preux,Ilir Latifi,Ilir Latifi,UFC Fight Night: Emmett vs. Stephens,Jorge Alonso,Submission,0,1,7 of 24,25 of 41,29%,60%,7 of 24,27 of 43,0 of 0,0 of 0,---,---,0,1,1,3:48,"6' 3""","5' 10""","80""","73""",Southpaw,Orthodox
Mike Perry,Max Griffin,Max Griffin,UFC Fight Night: Emmett vs. Stephens,Andrew Glenn,Decision - Unanimous,0,1,45 of 110,78 of 168,40%,46%,45 of 110,81 of 171,1 of 4,0 of 1,25%,0%,0,0,3,5:00,"5' 10""","5' 11""","71""","76""",Orthodox,Orthodox
Renan Barao,Brian Kelleher,Brian Kelleher,UFC Fight Night: Emmett vs. Stephens,Dan Miragliotta,Decision - Unanimous,0,0,116 of 228,94 of 203,50%,46%,134 of 247,145 of 256,0 of 2,1 of 4,0%,25%,0,0,3,5:00,"5' 6""","5' 6""","70""","66""",Orthodox,Switch
Sara McMann,Marion Reneau,Marion Reneau,UFC Fight Night: Emmett vs. Stephens,Kevin MacDonald,Submission,0,0,9 of 49,23 of 39,18%,58%,76 of 120,37 of 55,2 of 5,0 of 0,40%,---,0,1,2,3:40,"5' 6""","5' 6""","66""","68""",Orthodox,Orthodox
Maryna Moroz,Angela Hill,Angela Hill,UFC Fight Night: Emmett vs. Stephens,Jorge Alonso,Decision - Unanimous,0,0,84 of 321,114 of 209,26%,54%,100 of 339,121 of 216,0 of 2,1 of 2,0%,50%,0,0,3,5:00,"5' 7""","5' 3""","67""","64""",Orthodox,Orthodox
Ben Saunders,Alan Jouban,Alan Jouban,UFC Fight Night: Emmett vs. Stephens,Andrew Glenn,KO/TKO,0,2,33 of 79,78 of 141,41%,55%,34 of 80,78 of 141,0 of 0,0 of 0,---,---,0,0,2,2:38,"6' 2""","6' 0""","77""","73""",Orthodox,Southpaw
Sam Alvey,Marcin Prachnio,Sam Alvey,UFC Fight Night: Emmett vs. Stephens,Dan Miragliotta,KO/TKO,2,0,10 of 19,15 of 24,52%,62%,14 of 23,36 of 45,1 of 1,0 of 0,100%,---,0,0,1,4:23,"6' 2""","6' 3""","75""","74""",Southpaw,Orthodox
Rani Yahya,Russell Doane,Rani Yahya,UFC Fight Night: Emmett vs. Stephens,Kevin MacDonald,Submission,0,0,17 of 20,2 of 8,85%,25%,105 of 149,15 of 30,2 of 3,1 of 1,66%,100%,2,0,3,2:32,"5' 6""","5' 7""","67""","70""",Orthodox,Orthodox
Eric Shelton,Alex Perez,Alex Perez,UFC Fight Night: Emmett vs. Stephens,Jorge Alonso,Decision - Unanimous,0,0,41 of 109,29 of 82,37%,35%,72 of 140,67 of 123,0 of 2,5 of 9,0%,55%,0,0,3,5:00,"5' 6""","5' 6""","68""","65""",Orthodox,Orthodox
Albert Morales,Manny Bermudez,Manny Bermudez,UFC Fight Night: Emmett vs. Stephens,Andrew Glenn,Submission,0,0,19 of 54,12 of 28,35%,42%,30 of 66,27 of 43,1 of 1,1 of 5,100%,20%,0,3,2,2:33,"5' 9""","5' 10""","72""","71""",Orthodox,Orthodox
Donald Cerrone,Yancy Medeiros,Donald Cerrone,UFC Fight Night: Cerrone vs. Medeiros,Herb Dean,KO/TKO,3,0,28 of 57,25 of 79,49%,31%,28 of 57,26 of 80,0 of 1,0 of 0,0%,---,0,0,1,4:58,"6' 1""","5' 10""","73""","75""",Orthodox,Orthodox
Derrick Lewis,Marcin Tybura,Derrick Lewis,UFC Fight Night: Cerrone vs. Medeiros,Dan Miragliotta,KO/TKO,2,0,30 of 45,37 of 56,66%,66%,32 of 47,83 of 104,1 of 2,1 of 2,50%,50%,0,1,3,2:48,"6' 3""","6' 3""","79""","78""",Orthodox,Orthodox
James Vick,Francisco Trinaldo,James Vick,UFC Fight Night: Cerrone vs. Medeiros,Kerry Hatley,Decision - Unanimous,1,0,68 of 158,26 of 90,43%,28%,72 of 162,27 of 91,1 of 2,3 of 3,50%,100%,0,1,3,5:00,"6' 3""","5' 9""","76""","70""",Orthodox,Southpaw
Thiago Alves,Curtis Millender,Curtis Millender,UFC Fight Night: Cerrone vs. Medeiros,Jacob Montalvo,KO/TKO,0,2,33 of 106,47 of 106,31%,44%,37 of 110,47 of 106,1 of 1,0 of 0,100%,---,0,0,2,4:17,"5' 9""","6' 2""","70""","76""",Orthodox,Orthodox
Steven Peterson,Brandon Davis,Brandon Davis,UFC Fight Night: Cerrone vs. Medeiros,Dan Miragliotta,Decision - Unanimous,0,0,73 of 286,114 of 285,25%,40%,82 of 296,119 of 291,1 of 10,0 of 1,10%,0%,0,0,3,5:00,"5' 10""","5' 10""","70""","72""",Orthodox,Orthodox
Sage Northcutt,Thibault Gouti,Sage Northcutt,UFC Fight Night: Cerrone vs. Medeiros,Kerry Hatley,Decision - Unanimous,0,0,63 of 138,28 of 66,45%,42%,125 of 204,30 of 68,1 of 9,4 of 5,11%,80%,0,1,3,5:00,"6' 0""","5' 10""","71""","72""",Orthodox,Orthodox
Jared Gordon,Diego Ferreira,Diego Ferreira,UFC Fight Night: Cerrone vs. Medeiros,Dan Miragliotta,KO/TKO,0,1,8 of 17,29 of 60,47%,48%,8 of 17,29 of 60,0 of 1,0 of 0,0%,---,0,0,1,1:58,"5' 9""","5' 9""","68""","74""",Orthodox,Orthodox
Geoff Neal,Brian Camozzi,Geoff Neal,UFC Fight Night: Cerrone vs. Medeiros,Jacob Montalvo,Submission,0,0,14 of 31,7 of 29,45%,24%,15 of 32,9 of 32,0 of 0,0 of 0,---,---,1,0,1,2:48,"5' 11""","6' 2""","75""","78""",Southpaw,Orthodox
Robert Sanchez,Joby Sanchez,Robert Sanchez,UFC Fight Night: Cerrone vs. Medeiros,Herb Dean,Submission,0,0,2 of 3,1 of 5,66%,20%,2 of 3,5 of 9,3 of 3,0 of 0,100%,---,1,0,1,1:50,"5' 6""","5' 6""","66""","68""",Orthodox,Orthodox
Sarah Moras,Lucie Pudilova,Lucie Pudilova,UFC Fight Night: Cerrone vs. Medeiros,Jacob Montalvo,Decision - Unanimous,0,2,43 of 121,75 of 134,35%,55%,80 of 165,107 of 171,2 of 5,0 of 0,40%,---,2,0,3,5:00,"5' 7""","5' 8""","67""","67""",Orthodox,Orthodox
Joshua Burkman,Alex Morono,Alex Morono,UFC Fight Night: Cerrone vs. Medeiros,Herb Dean,Submission,0,1,4 of 13,7 of 19,30%,36%,4 of 13,7 of 19,0 of 0,0 of 0,---,---,0,1,1,2:12,"5' 10""","5' 11""","72""","72""",Orthodox,Orthodox
Oskar Piechota,Tim Williams,Oskar Piechota,UFC Fight Night: Cerrone vs. Medeiros,Kerry Hatley,KO/TKO,1,0,17 of 22,8 of 18,77%,44%,17 of 22,8 of 18,0 of 0,0 of 0,---,---,0,0,1,1:54,"6' 0""","6' 2""","76""","76""",Southpaw,Orthodox
Yoel Romero,Luke Rockhold,Yoel Romero,UFC 221: Romero vs. Rockhold,Marc Goddard,KO/TKO,1,0,45 of 92,45 of 119,48%,37%,52 of 99,45 of 119,0 of 0,0 of 0,---,---,0,0,3,1:48,"6' 0""","6' 3""","73""","77""",Southpaw,Southpaw
Mark Hunt,Curtis Blaydes,Curtis Blaydes,UFC 221: Romero vs. Rockhold,John Sharp,Decision - Unanimous,1,0,14 of 32,56 of 105,43%,53%,35 of 53,126 of 184,0 of 0,10 of 14,---,71%,0,0,3,5:00,"5' 10""","6' 4""","72""","80""",Orthodox,Orthodox
Tai Tuivasa,Cyril Asker,Tai Tuivasa,UFC 221: Romero vs. Rockhold,Steve Perceval,KO/TKO,0,0,38 of 51,3 of 11,74%,27%,39 of 52,3 of 11,0 of 0,0 of 0,---,---,0,0,1,2:18,"6' 2""","6' 0""","75""","74""",Southpaw,Orthodox
Jake Matthews,Li Jingliang,Jake Matthews,UFC 221: Romero vs. Rockhold,Mark Simpson,Decision - Unanimous,2,0,63 of 127,49 of 152,49%,32%,89 of 156,56 of 163,2 of 4,0 of 1,50%,0%,1,0,3,5:00,"5' 11""","6' 0""","73""","71""",Orthodox,Orthodox
Tyson Pedro,Saparbeg Safarov,Tyson Pedro,UFC 221: Romero vs. Rockhold,Peter Hickmott,Submission,0,0,12 of 23,8 of 22,52%,36%,17 of 28,10 of 24,0 of 1,2 of 5,0%,40%,1,0,1,3:54,"6' 3""","6' 1""","79""","78""",Orthodox,Orthodox
Damien Brown,Dong Hyun Ma,Dong Hyun Ma,UFC 221: Romero vs. Rockhold,John Sharp,Decision - Split,0,0,46 of 123,67 of 153,37%,43%,46 of 123,68 of 154,0 of 0,0 of 0,---,---,0,0,3,5:00,"5' 10""","5' 11""","68""","70""",Orthodox,Orthodox
Rob Wilkinson,Israel Adesanya,Israel Adesanya,UFC 221: Romero vs. Rockhold,Steve Perceval,KO/TKO,0,1,22 of 46,52 of 75,47%,69%,33 of 59,70 of 94,3 of 15,0 of 0,20%,---,0,0,2,3:37,"6' 3""","6' 4""","80""","80""",Orthodox,Switch
Alexander Volkanovski,Jeremy Kennedy,Alexander Volkanovski,UFC 221: Romero vs. Rockhold,Marc Goddard,KO/TKO,0,0,73 of 120,8 of 25,60%,32%,105 of 158,11 of 29,2 of 3,0 of 3,66%,0%,0,0,2,4:57,"5' 6""","5' 11""","71""","71""",Orthodox,Orthodox
Jussier Formiga,Ben Nguyen,Jussier Formiga,UFC 221: Romero vs. Rockhold,Peter Hickmott,Submission,1,0,27 of 49,21 of 65,55%,32%,50 of 72,37 of 82,2 of 4,0 of 0,50%,---,1,0,3,1:43,"5' 5""","5' 5""","67""","65""",Orthodox,Switch
Ross Pearson,Mizuto Hirota,Ross Pearson,UFC 221: Romero vs. Rockhold,John Sharp,Decision - Unanimous,0,0,58 of 176,77 of 213,32%,36%,59 of 177,77 of 213,0 of 0,0 of 1,---,0%,0,0,3,5:00,"5' 8""","5' 7""","69""","67""",Orthodox,Orthodox
Teruto Ishihara,Jose Quinonez,Jose Quinonez,UFC 221: Romero vs. Rockhold,Marc Goddard,Decision - Unanimous,1,0,33 of 109,49 of 98,30%,50%,35 of 111,54 of 103,1 of 4,2 of 7,25%,28%,0,0,3,5:00,"5' 7""","5' 8""","69""","69""",Southpaw,Southpaw
Luke Jumeau,Daichi Abe,Luke Jumeau,UFC 221: Romero vs. Rockhold,Mark Simpson,Decision - Unanimous,0,0,63 of 130,63 of 171,48%,36%,64 of 131,65 of 176,1 of 1,0 of 1,100%,0%,0,0,3,5:00,"5' 11""","5' 11""","72""","71""",Orthodox,Orthodox
Lyoto Machida,Eryk Anders,Lyoto Machida,UFC Fight Night: Machida vs. Anders,Marc Goddard,Decision - Split,0,0,62 of 112,32 of 77,55%,41%,66 of 116,46 of 94,0 of 0,3 of 11,---,27%,0,0,5,5:00,"6' 1""","6' 1""","74""","75""",Southpaw,Southpaw
Valentina Shevchenko,Priscila Cachoeira,Valentina Shevchenko,UFC Fight Night: Machida vs. Anders,Mario Yamasaki,Submission,0,0,95 of 113,2 of 12,84%,16%,230 of 254,3 of 13,2 of 2,0 of 0,100%,---,2,0,2,4:25,"5' 5""","5' 7""","66""","65""",Southpaw,Orthodox
Michel Prazeres,Desmond Green,Michel Prazeres,UFC Fight Night: Machida vs. Anders,Marc Goddard,Decision - Unanimous,0,0,36 of 72,33 of 61,50%,54%,70 of 106,50 of 79,3 of 8,3 of 6,37%,50%,3,0,3,5:00,"5' 6""","5' 10""","67""","73""",Orthodox,Southpaw
Timothy Johnson,Marcelo Golm,Timothy Johnson,UFC Fight Night: Machida vs. Anders,Osiris Maia,Decision - Unanimous,0,0,77 of 146,59 of 87,52%,67%,139 of 217,89 of 119,0 of 6,0 of 0,0%,---,0,0,3,5:00,"6' 3""","6' 3""","77""","75""",Southpaw,Orthodox
Douglas Silva de Andrade,Marlon Vera,Douglas Silva de Andrade,UFC Fight Night: Machida vs. Anders,Camila Albuquerque,Decision - Unanimous,0,0,97 of 232,72 of 191,41%,37%,99 of 234,75 of 195,1 of 3,0 of 0,33%,---,0,0,3,5:00,"5' 7""","5' 8""","68""","70""",Orthodox,Switch
Thiago Santos,Anthony Smith,Thiago Santos,UFC Fight Night: Machida vs. Anders,Marc Goddard,KO/TKO,2,0,58 of 82,10 of 22,70%,45%,80 of 106,13 of 26,0 of 1,1 of 3,0%,33%,0,0,2,1:03,"6' 2""","6' 4""","76""","76""",Orthodox,Orthodox
Sergio Moraes,Tim Means,Sergio Moraes,UFC Fight Night: Machida vs. Anders,Eduardo Herdy,Decision - Split,0,1,87 of 192,129 of 274,45%,47%,89 of 195,136 of 282,0 of 1,0 of 0,0%,---,0,0,3,5:00,"6' 0""","6' 2""","72""","75""",Orthodox,Orthodox
Alan Patrick,Damir Hadzovic,Alan Patrick,UFC Fight Night: Machida vs. Anders,Mario Yamasaki,Decision - Unanimous,0,0,28 of 45,20 of 25,62%,80%,91 of 129,67 of 81,9 of 15,0 of 0,60%,---,0,1,3,5:00,"5' 11""","5' 9""","74""","70""",Southpaw,Orthodox
Maia Stevenson,Polyana Viana,Polyana Viana,UFC Fight Night: Machida vs. Anders,Camila Albuquerque,Submission,0,0,6 of 11,12 of 18,54%,66%,11 of 16,25 of 35,1 of 1,1 of 2,100%,50%,0,3,1,3:50,"5' 4""","5' 5""","62""","67""",Orthodox,Orthodox
Iuri Alcantara,Joe Soto,Iuri Alcantara,UFC Fight Night: Machida vs. Anders,Osiris Maia,KO/TKO,1,0,17 of 30,1 of 2,56%,50%,17 of 30,1 of 2,0 of 0,0 of 1,---,0%,0,0,1,1:06,"5' 9""","5' 6""","71""","65""",Southpaw,Orthodox
Deiveson Figueiredo,Joseph Morales,Deiveson Figueiredo,UFC Fight Night: Machida vs. Anders,Eduardo Herdy,KO/TKO,1,0,31 of 62,9 of 32,50%,28%,44 of 76,11 of 35,2 of 2,0 of 1,100%,0%,1,0,2,4:34,"5' 5""","5' 6""","68""","69""",Orthodox,Switch
Jacare Souza,Derek Brunson,Jacare Souza,UFC Fight Night: Jacare vs. Brunson 2,Dan Miragliotta,KO/TKO,1,0,9 of 21,8 of 34,42%,23%,9 of 21,8 of 34,0 of 1,0 of 0,0%,---,0,0,1,3:50,"6' 1""","6' 1""","72""","77""",Orthodox,Southpaw
Dennis Bermudez,Andre Fili,Andre Fili,UFC Fight Night: Jacare vs. Brunson 2,Kevin MacDonald,Decision - Split,0,0,103 of 196,80 of 229,52%,34%,133 of 227,93 of 242,1 of 11,4 of 12,9%,33%,0,0,3,5:00,"5' 6""","5' 11""","66""","74""",Orthodox,Orthodox
Jordan Rinaldi,Gregor Gillespie,Gregor Gillespie,UFC Fight Night: Jacare vs. Brunson 2,Donnie Jessup,KO/TKO,0,0,7 of 16,34 of 55,43%,61%,7 of 16,42 of 63,0 of 0,1 of 2,---,50%,0,0,1,4:46,"5' 10""","5' 7""","72""","71""",Orthodox,Orthodox
Drew Dober,Frank Camacho,Drew Dober,UFC Fight Night: Jacare vs. Brunson 2,Joseph Hawes,Decision - Unanimous,0,0,145 of 322,106 of 223,45%,47%,161 of 338,148 of 269,0 of 6,3 of 3,0%,100%,0,0,3,5:00,"5' 8""","5' 10""","70""","73""",Southpaw,Orthodox
Erik Koch,Bobby Green,Bobby Green,UFC Fight Night: Jacare vs. Brunson 2,Dan Miragliotta,Decision - Unanimous,0,0,56 of 146,110 of 194,38%,56%,60 of 150,134 of 220,1 of 1,1 of 5,100%,20%,0,0,3,5:00,"5' 10""","5' 10""","71""","71""",Southpaw,Orthodox
Mirsad Bektic,Godofredo Pepey,Mirsad Bektic,UFC Fight Night: Jacare vs. Brunson 2,Kevin MacDonald,KO/TKO,1,0,12 of 33,5 of 17,36%,29%,12 of 34,5 of 17,0 of 0,0 of 0,---,---,0,0,1,2:47,"5' 8""","5' 7""","70""","73""",Orthodox,Orthodox
Katlyn Cerminara,Mara Romero Borella,Katlyn Cerminara,UFC Fight Night: Jacare vs. Brunson 2,Donnie Jessup,Decision - Unanimous,0,0,68 of 252,79 of 211,26%,37%,71 of 257,80 of 214,0 of 1,1 of 3,0%,33%,1,0,3,5:00,"5' 9""","5' 6""","68""","69""",Orthodox,Orthodox
Randa Markos,Juliana Lima,Randa Markos,UFC Fight Night: Jacare vs. Brunson 2,Joseph Hawes,Decision - Unanimous,0,0,46 of 65,18 of 37,70%,48%,114 of 149,34 of 56,2 of 7,1 of 2,28%,50%,0,0,3,5:00,"5' 4""","5' 5""","63""","65""",Orthodox,Orthodox
Justine Kish,Ji Yeon Kim,Ji Yeon Kim,UFC Fight Night: Jacare vs. Brunson 2,Dan Miragliotta,Decision - Split,0,0,96 of 203,68 of 215,47%,31%,96 of 203,68 of 216,0 of 0,0 of 0,---,---,0,0,3,5:00,"5' 5""","5' 7""","64""","72""",Orthodox,Orthodox
Vinc Pichel,Joaquim Silva,Vinc Pichel,UFC Fight Night: Jacare vs. Brunson 2,Kevin MacDonald,Decision - Unanimous,0,0,60 of 186,45 of 100,32%,45%,62 of 188,54 of 109,1 of 4,0 of 0,25%,---,0,0,3,5:00,"5' 10""","5' 8""","72""","69""",Orthodox,Southpaw
Niko Price,George Sullivan,Niko Price,UFC Fight Night: Jacare vs. Brunson 2,Donnie Jessup,Submission,0,0,24 of 47,21 of 61,51%,34%,35 of 67,42 of 88,2 of 5,1 of 6,40%,16%,3,0,2,4:21,"6' 0""","6' 0""","76""","73""",Orthodox,Orthodox
Austin Arnett,Cory Sandhagen,Cory Sandhagen,UFC Fight Night: Jacare vs. Brunson 2,Joseph Hawes,KO/TKO,0,1,32 of 90,80 of 147,35%,54%,35 of 95,108 of 179,1 of 1,1 of 1,100%,100%,0,0,2,3:48,"6' 0""","5' 11""","72""","70""",Orthodox,Switch
Stipe Miocic,Francis Ngannou,Stipe Miocic,UFC 220: Miocic vs. Ngannou,Herb Dean,Decision - Unanimous,0,0,70 of 95,21 of 113,73%,18%,200 of 244,33 of 126,6 of 14,0 of 1,42%,0%,0,1,5,5:00,"6' 4""","6' 4""","80""","83""",Orthodox,Orthodox
Daniel Cormier,Volkan Oezdemir,Daniel Cormier,UFC 220: Miocic vs. Ngannou,Kevin MacDonald,KO/TKO,0,0,32 of 61,38 of 82,52%,46%,84 of 113,42 of 86,2 of 3,0 of 0,66%,---,1,0,2,2:00,"5' 11""","6' 2""","72""","75""",Orthodox,Orthodox
Calvin Kattar,Shane Burgos,Calvin Kattar,UFC 220: Miocic vs. Ngannou,Dan Miragliotta,KO/TKO,1,0,85 of 194,89 of 186,43%,47%,86 of 195,91 of 188,0 of 1,0 of 0,0%,---,0,0,3,0:32,"5' 11""","5' 11""","72""","75""",Orthodox,Orthodox
Gian Villante,Francimar Barroso,Gian Villante,UFC 220: Miocic vs. Ngannou,Steve Rita,Decision - Split,0,0,74 of 209,74 of 128,35%,57%,74 of 209,74 of 128,0 of 0,0 of 0,---,---,0,0,3,5:00,"6' 3""","6' 1""","76""","75""",Orthodox,Orthodox
Thomas Almeida,Rob Font,Rob Font,UFC 220: Miocic vs. Ngannou,Herb Dean,KO/TKO,0,2,24 of 90,41 of 132,26%,31%,24 of 92,48 of 139,0 of 0,1 of 3,---,33%,0,0,2,2:24,"5' 7""","5' 8""","70""","71""",Southpaw,Orthodox
Kyle Bochniak,Brandon Davis,Kyle Bochniak,UFC 220: Miocic vs. Ngannou,Kevin MacDonald,Decision - Unanimous,0,0,33 of 132,38 of 112,25%,33%,35 of 134,59 of 133,3 of 15,1 of 1,20%,100%,0,0,3,5:00,"5' 7""","5' 10""","70""","72""",Orthodox,Orthodox
