name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Elvis Sinosic,The King of Rock n Rumble,7.0,11.0,2,53.0,13,0.31,0.37,0.0,0.0,1.2,75,77,0.0,1.13,6.95,4.6,0.53,0.0
Gian Siqueira,Pitbull,19.0,5.0,0,30.0,23,0.0,1.0,0.0,0.0,0.0,73,74,0.0,0.8,4.983333333333333,3.41,0.19,0.0
Jeremia Siregar,The Teacher,6.0,3.0,0,33.0,53,0.0,0.42,0.0,0.0,0.0,62,63,0.0,2.8,3.9333333333333336,7.37,0.29,0.75
Dennis Siver,727,23.0,11.0,0,45.0,32,0.47,0.32,0.87,0.32,0.3,66,70,0.0,3.87,10.683333333333334,2.67,0.65,0.65
Chas Skelly,The Scrapper,19.0,3.0,0,39.0,8,0.27,0.4,1.74,0.34,2.3,71,72,0.0,2.01,9.35,3.21,0.49,0.39
Scott Smith,Hands of Steel,18.0,11.0,0,45.0,8,0.88,0.27,0.12,0.06,0.5,72,70,0.0,1.9,8.5,5.87,0.5,0.58
Trevor Smith,Hot Sauce,15.0,10.0,0,43.0,8,0.18,0.55,1.7,0.32,0.7,75,75,0.0,3.29,10.983333333333333,3.31,0.51,0.6
Anthony Smith,Lionheart,38.0,20.0,0,36.0,8,0.4,0.49,0.46,0.26,0.6,76,76,0.0,3.24,9.85,4.6,0.46,0.5
Colton Smith,730,7.0,4.0,0,37.0,8,0.45,0.41,4.09,0.36,1.4,72,71,0.0,1.64,8.25,2.3,0.51,0.25
Leslie Smith,The Peacemaker,10.0,7.0,1,42.0,8,0.48,0.4,0.0,0.0,0.0,69,66,0.0,7.56,9.016666666666667,8.41,0.51,0.62
Devonte Smith,King Kage,11.0,4.0,0,31.0,8,1.04,0.53,0.35,0.25,0.3,69,76,0.0,4.55,6.183333333333334,3.91,0.49,0.85
Cole Smith,The Cole Train,7.0,2.0,0,35.0,60,0.0,0.35,1.67,0.33,1.7,71,67,0.0,1.78,15.0,1.96,0.49,0.45
Nate Smith,The Savage,6.0,1.0,0,29.0,8,0.0,0.38,0.0,0.0,2.3,66,69,3.0,1.28,13.25,2.04,0.35,0.33
Braxton Smith,The Beautiful Monster,5.0,2.0,0,34.0,8,0.0,0.48,0.0,0.0,0.0,71,72,0.0,6.46,2.1666666666666665,11.54,0.32,1.0
Dmitrii Smoliakov,The Lifeguard,9.0,3.0,0,42.0,50,0.0,0.42,0.0,0.0,0.0,74,74,3.0,1.44,4.633333333333333,3.81,0.55,0.75
Louis Smolka,Da Last Samurai,17.0,9.0,0,33.0,8,0.19,0.47,1.69,0.35,1.8,69,68,0.0,4.67,9.4,4.11,0.53,0.32
Cameron Smotherman,The BabyFaced Killa,8.0,4.0,0,27.0,8,0.0,0.36,0.0,0.0,0.0,69,69,0.0,4.0,1.0,13.0,0.35,0.0
Shimon Smotritsky,The Assassin,8.0,2.0,0,24.0,97,3.52,0.34,3.52,0.33,0.0,74,74,0.0,3.52,2.1333333333333333,8.67,0.56,0.5
Richie Smullen,731,3.0,1.0,1,33.0,12,0.0,0.77,8.49,0.66,0.0,69,68,0.0,1.98,3.533333333333333,2.26,0.65,0.0
Devin Smyth,732,4.0,2.0,0,29.0,8,0.0,0.68,4.0,0.26,0.0,70,72,3.0,2.6,15.0,6.73,0.25,1.0
Peter Sobotta,733,17.0,7.0,1,37.0,1,0.51,0.4,1.53,0.32,0.5,72,75,1.0,2.14,11.75,2.9,0.58,0.77
Renato Sobral,Babalu,37.0,11.0,0,49.0,23,0.0,0.45,2.48,0.42,2.6,73,75,0.0,2.23,8.066666666666666,1.53,0.57,0.65
Alexander Soldatkin,734,14.0,4.0,0,31.0,97,0.0,0.6,1.45,0.5,0.0,74,75,0.0,1.16,10.333333333333334,1.35,0.26,0.5
Song Kenan,The Assassin,21.0,8.0,0,34.0,59,0.72,0.47,0.43,0.33,0.0,72,71,0.0,4.57,10.4,5.84,0.51,0.72
Emrah Sonmez,Anatolian Wolf,14.0,5.0,0,32.0,113,0.0,0.46,5.0,0.21,0.0,70,71,0.0,1.47,15.0,1.73,0.48,0.0
Chael Sonnen,736,29.0,15.0,1,47.0,8,0.0,0.43,3.81,0.59,0.4,73,73,1.0,3.08,10.966666666666667,1.1,0.62,0.66
Jin Soo Son,737,9.0,4.0,0,31.0,93,0.0,0.36,1.5,0.25,0.0,66,69,0.0,5.1,15.0,7.63,0.52,1.0
Benardo Sopaj,Lion King,11.0,3.0,0,24.0,120,0.0,0.52,3.06,0.75,0.0,66,66,0.0,3.06,14.683333333333334,4.56,0.53,0.5
Sean Soriano,738,14.0,8.0,0,35.0,8,0.0,0.61,1.33,0.55,0.0,69,70,0.0,3.18,11.3,2.14,0.56,0.52
Punahele Soriano,Puna,10.0,4.0,0,31.0,8,0.82,0.53,1.48,0.56,0.0,71,72,1.0,4.89,10.116666666666667,3.88,0.48,0.37
Dmitry Sosnovskiy,Wicked Machine,11.0,0.0,0,35.0,32,0.0,0.7,3.16,0.66,3.2,75,77,0.0,2.95,9.483333333333333,2.53,0.35,1.0
Ben Sosoli,Combat Wombat,7.0,3.0,0,34.0,13,0.0,0.31,0.0,0.0,0.0,72,72,1.0,2.31,6.2,4.3,0.47,0.0
Krzysztof Soszynski,The Polish Experiment,26.0,12.0,1,47.0,1,0.19,0.39,0.52,0.25,1.0,73,77,2.0,3.37,8.933333333333334,3.13,0.58,0.71
George Sotiropoulos,739,14.0,7.0,0,47.0,13,0.14,0.27,2.32,0.31,1.6,70,71,0.0,2.61,9.55,2.52,0.67,0.53
Greg Soto,740,9.0,4.0,0,38.0,8,0.0,0.63,1.49,0.27,1.0,71,73,0.0,3.21,10.083333333333334,2.61,0.52,0.44
Joe Soto,One Bad Mofo,18.0,7.0,0,37.0,8,0.0,0.41,0.85,0.21,1.9,66,65,0.0,3.36,8.85,5.37,0.67,0.7
Andre Soukhamthath,The Asian Sensation,13.0,8.0,0,35.0,8,0.94,0.44,1.25,0.53,0.2,69,70,0.0,2.77,13.733333333333333,4.31,0.49,0.58
Mario Sousa,Coracao Valente,15.0,3.0,0,27.0,23,0.0,0.5,0.52,0.25,0.5,75,79,0.0,2.82,9.583333333333334,2.99,0.28,0.37
Livinha Souza,The Brazilian Gangsta,14.0,4.0,0,33.0,23,0.0,0.45,2.54,0.45,1.4,63,63,0.0,1.75,10.833333333333334,3.6,0.56,0.4
Bruno Souza,The Tiger,10.0,3.0,0,28.0,23,0.0,0.39,0.5,0.16,0.0,70,70,0.0,3.73,15.0,5.3,0.45,0.6
Ketlen Souza,Esquentadinha,15.0,4.0,0,30.0,23,0.76,0.66,0.76,0.5,0.8,63,63,0.0,5.11,6.6,3.49,0.56,0.62
Ryan Spann,Superman,22.0,10.0,0,33.0,8,1.13,0.4,1.32,0.35,1.7,77,79,0.0,3.3,5.316666666666666,3.9,0.43,0.5
Tommy Speer,The Farmboy,21.0,7.0,0,40.0,8,0.0,0.51,2.02,0.33,0.0,70,71,0.0,2.56,2.466666666666667,5.12,0.35,0.33
Sean Spencer,Black Magic,12.0,6.0,0,37.0,8,0.42,0.32,0.14,0.33,0.0,70,74,0.0,4.24,13.433333333333334,4.02,0.6,0.68
Felicia Spencer,FeeNom,9.0,3.0,0,33.0,60,0.0,0.48,1.18,0.18,0.2,66,68,0.0,3.21,12.733333333333333,4.54,0.45,0.27
Eric Spicely,Zebrinha,12.0,6.0,0,38.0,8,0.0,0.45,1.31,0.2,1.0,73,73,0.0,3.71,6.55,5.72,0.55,0.75
