name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Ike Villanueva,Hurricane,18,14,0,39,49,0.6,0.38,0.6,0.5,0,73,73,0,3.66,4.183333333,7.24,0.36,1
Ikram Aliskerov,16,15,1,0,31,71,4.66,0.65,2.33,0.33,2.3,72,76,1,8.24,2.15,7.15,0.36,0
Ildemar Alcantara,Marajo,21,11,0,41,31,0,0.38,2,0.68,0.9,74,78,0,1.93,13.95,2.63,0.5,0.81
Ilia Topuria,El Matador,14,0,0,27,76,0.97,0.46,2.19,0.56,1.5,67,69,0,4.44,10.28333333,3.05,0.67,0.92
Iliarde Santos,620,30,13,1,43,18,0,0.3,1.66,0.23,0,65,67,0,3,9.016666667,6.1,0.57,0.83
Ilir Latifi,The Sledgehammer,17,9,0,41,115,0.4,0.45,2.11,0.35,0.3,70,73,0,2.05,9.316666667,2.93,0.56,1
Impa Kasanganay,Tshilobo,9,2,0,30,49,0,0.48,1.75,0.58,0.2,71,75,0,4.96,10.01666667,3.66,0.58,0.66
Ion Cutelaba,The Hulk,17,9,1,30,38,0.28,0.43,4.75,0.58,0,73,75,1,4.63,7.166666667,3.29,0.48,0.77
Irene Aldana,9,15,7,0,35,47,0.24,0.4,0.16,0.5,0.2,69,68,0,5.24,14.63333333,6.33,0.57,0.76
Irina Alekseeva,Russian Ronda,5,2,0,33,27,0.87,0.43,0.87,0.2,0.9,68,67,0,3.84,8.6,3.55,0.48,1
Irwin Rivera,The Beast,10,6,0,34,47,0,0.44,1,0.16,0,66,67,1,3.36,15,5.07,0.57,0.7
Isaac Dulgarian,The Midwest Choppa,6,0,0,27,49,0,0.66,3.13,1,0,67,71,0,7.29,4.8,0.42,0.71,0
Isaac VallieFlagg,735,16,7,1,45,49,0,0.47,0.2,0.12,0,68,70,0,5.56,15,5.6,0.45,0.58
Isabela De Padua,Belinha,5,2,0,32,18,0,0.35,2,0.66,1,63,64,0,1,15,2.07,0.5,0
Isis Verbeek,Fight Queen,5,2,0,29,100,0,0.43,0,0,0,64,64,0,3.13,15,3.53,0.53,0.66
Islam Makhachev,457,25,1,0,32,71,0.41,0.6,3.17,0.6,1,70,70,1,2.46,9.766666667,1.27,0.61,0.9
Ismael Bonfim,Marreta,19,4,0,28,18,1.11,0.57,1.11,0.28,0,68,71,0,4.91,9.033333333,2.66,0.76,0.81
Israel Adesanya,The Last Stylebender,24,3,0,34,69,0.67,0.48,0.05,0.14,0.1,76,80,3,3.93,18.26666667,3.11,0.56,0.77
Issei Tamura,705,10,8,0,39,64,1.83,0.53,0.92,0.25,0,65,63,0,1.89,5.466666667,4.58,0.44,0.33
Istela Nunes,490,6,5,0,31,18,0.4,0.45,0,0,0,64,66,0,5.02,9.4,4.84,0.6,0.5
Iuri Alcantara,Marajo,35,10,0,43,18,0.42,0.45,1.44,0.62,0.8,69,71,1,2.72,9.35,2.79,0.49,0.6
Ivan Jorge,Batman,27,7,0,43,18,0,0.49,1.56,0.16,0.6,69,73,0,3.41,12.01666667,2.91,0.59,0.75
Ivan Valenzuela,Bam Bam,8,2,0,31,47,0,0,0,0,0,74,77,0,0,0.416666667,9.6,0.33,0
Ivana Petrovic,537,6,1,0,29,76,0,0.35,2,0.33,2,68,70,1,1.47,15,2.73,0.52,0.66
