redCorner,blueCorner,winner,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance,redCorner_sig_str_landed_per_minute,blueCorner_sig_str_landed_per_minute,redCorner_fightTime,blueCorner_fightTime,redCorner_sig_str_absorbed_per_minute,blueCorner_sig_str_absorbed_per_minute,redCorner_sig_str_defense,blueCorner_sig_str_defense,redCorner_takedown_defense,blueCorner_takedown_defense
0,1,1,14.0,5.0,7.0,0.0,0.0,1.0,28.0,33.0,18.0,18.0,0.0,0.0,0.36,0.28,0.5,2.5,0.2,0.15,0.0,0.0,62.0,61.0,62.0,58.0,0.0,0.0,3.73,2.37,15.0,15.0,4.63,4.8,0.65,0.48,0.88,0.5
0,1,1,22.0,21.0,6.0,3.0,1.0,0.0,34.0,27.0,36.0,56.0,0.51,0.36,0.48,0.48,1.9,3.4,0.34,0.36,0.9,0.0,70.0,67.0,72.0,72.0,1.0,0.0,3.78,3.85,8.9,12.366666666666667,2.65,1.91,0.57,0.54,0.8,0.75
0,1,0,14.0,31.0,7.0,15.0,0.0,1.0,28.0,37.0,49.0,49.0,1.23,0.26,0.48,0.52,0.88,1.2,0.55,0.37,1.2,0.3,75.0,70.0,77.0,71.0,1.0,0.0,6.02,6.14,7.116666666666666,11.266666666666667,4.63,3.74,0.41,0.62,0.75,0.74
0,1,1,20.0,22.0,8.0,3.0,0.0,1.0,36.0,36.0,49.0,18.0,0.48,0.91,0.45,0.55,0.89,1.65,0.35,0.44,0.3,1.6,68.0,65.0,71.0,68.0,0.0,0.0,5.53,3.08,12.833333333333334,12.133333333333333,3.65,3.46,0.56,0.51,0.46,0.58
0,1,0,16.0,18.0,1.0,9.0,0.0,0.0,31.0,32.0,49.0,49.0,0.17,0.45,0.53,0.41,3.29,0.96,0.57,0.3,1.2,0.1,70.0,69.0,72.0,71.0,0.0,1.0,3.77,3.55,12.4,13.55,3.55,3.23,0.61,0.58,0.87,0.59
0,1,1,38.0,13.0,21.0,5.0,0.0,0.0,42.0,34.0,49.0,18.0,0.19,0.3,0.33,0.41,3.13,0.45,0.36,0.6,0.6,0.7,67.0,68.0,70.0,69.0,0.0,1.0,2.64,3.61,12.433333333333334,10.1,3.01,4.51,0.61,0.54,0.67,0.64
0,1,1,9.0,15.0,4.0,5.0,0.0,0.0,31.0,32.0,49.0,49.0,0.99,0.22,0.45,0.44,0.79,2.4,0.4,0.4,0.0,0.7,71.0,72.0,72.0,75.0,1.0,0.0,3.96,3.49,9.5,9.816666666666666,4.55,3.29,0.48,0.48,0.33,0.46
0,1,0,20.0,9.0,9.0,3.0,0.0,0.0,37.0,35.0,49.0,49.0,0.06,0.27,0.45,0.43,2.02,0.54,0.31,0.33,1.3,0.3,66.0,67.0,65.0,68.0,0.0,0.0,2.62,2.59,12.716666666666669,11.183333333333334,2.98,2.86,0.51,0.5,0.55,0.5
0,1,0,14.0,13.0,2.0,4.0,1.0,0.0,35.0,30.0,49.0,49.0,0.25,0.0,0.55,0.56,1.78,2.65,0.3,0.5,0.0,1.5,69.0,69.0,70.0,70.0,0.0,0.0,4.33,2.21,11.816666666666666,9.916666666666666,3.4,1.53,0.52,0.52,0.68,0.5
0,1,0,12.0,19.0,2.0,5.0,0.0,0.0,27.0,27.0,18.0,59.0,0.54,1.62,0.61,0.56,1.09,0.0,0.25,0.0,0.5,0.0,75.0,75.0,77.0,75.0,0.0,1.0,6.47,5.59,9.216666666666669,5.55,5.9,6.56,0.44,0.41,1.0,0.57
