,name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
2142,Rodolfo Vieira,749,9.0,2.0,0,34.0,51,0.0,0.54,3.7,0.26,1.4,72,73,0.0,3.36,8.783333333333333,4.84,0.48,1.0
2144,Rodrigo Lidio,Dynamis,12.0,3.0,0,34.0,99,0.0,0.5,0.0,0.0,0.0,71,73,0.0,0.97,3.0833333333333335,0.0,1.0,0.5
2147,Roger Bowling,Relentless,12.0,6.0,0,41.0,69,0.22,0.47,3.09,0.43,0.9,69,68,0.0,3.9,8.916666666666666,3.86,0.51,0.27
2148,Roger Gracie,280,8.0,2.0,0,42.0,51,0.0,0.35,1.87,0.53,1.9,76,79,0.0,1.78,15.0,1.79,0.61,0.6
2150,Roger Huerta,El Matador,23.0,9.0,1,40.0,69,0.0,0.36,2.13,0.46,0.5,69,70,0.0,3.64,11.433333333333334,2.33,0.56,0.52
2152,Rogerio Bontorin,83,16.0,4.0,0,31.0,51,0.0,0.52,2.9,0.6,1.0,65,67,0.0,2.63,11.066666666666666,3.27,0.5,0.51
2153,Roland Delorme,162,9.0,5.0,0,40.0,67,0.46,0.44,2.51,0.34,1.6,69,71,0.0,2.28,9.4,4.32,0.4,0.42
2155,Rolando Bedoya,The Machine,14.0,3.0,0,27.0,28,0.0,0.55,0.0,0.0,0.0,71,74,0.0,8.7,15.0,6.83,0.52,0.0
2156,Rolando Delgado,Roli,11.0,6.0,1,42.0,69,0.58,0.4,1.17,0.22,3.5,75,77,0.0,1.56,8.55,1.83,0.62,0.0
2157,Rolando Dy,Dy Incredible,9.0,7.0,1,33.0,99,0.3,0.37,0.3,0.2,0.0,68,69,0.0,3.04,12.416666666666666,4.47,0.52,0.68
2160,Roman Bogatov,81,10.0,1.0,0,33.0,42,0.0,0.42,1.0,0.09,0.0,68,73,0.0,3.33,15.0,4.4,0.44,0.5
2161,Roman Dolidze,182,12.0,2.0,0,35.0,72,0.76,0.44,1.72,0.5,1.7,74,76,0.0,3.02,9.833333333333334,3.01,0.55,0.33
2162,Roman Kopylov,392,12.0,2.0,0,32.0,0,0.94,0.53,0.47,0.5,0.0,72,75,1.0,4.72,10.633333333333333,4.11,0.6,0.92
2166,Ron Stallings,The Choir Boy,14.0,8.0,0,41.0,69,0.0,0.6,0.0,0.0,0.0,74,75,1.0,3.22,10.266666666666667,3.26,0.51,0.71
2171,Ronaldo Souza,Jacare,26.0,10.0,0,44.0,51,0.27,0.47,2.57,0.39,1.3,73,72,0.0,2.53,9.666666666666666,2.83,0.62,0.57
2172,Ronda Rousey,Rowdy,12.0,2.0,0,37.0,69,0.96,0.52,6.26,0.68,4.8,67,66,0.0,4.17,2.6,4.14,0.44,0.5
2173,Rongzhu,5026,24.0,5.0,0,23.0,85,0.77,0.5,2.56,0.62,0.0,69,72,0.0,5.6,11.7,6.36,0.45,0.87
2174,Ronnie Lawrence,The Heat,8.0,2.0,0,31.0,69,0.75,0.56,6.75,0.77,0.2,68,68,3.0,2.78,12.0,1.75,0.52,0.45
2175,Ronny Markes,462,17.0,5.0,0,35.0,51,0.0,0.53,3.13,0.4,0.5,73,75,0.0,2.17,11.5,2.43,0.45,1.0
2176,Rony Jason,Jason,14.0,7.0,0,39.0,51,0.39,0.44,0.59,0.3,0.8,67,73,0.0,2.04,8.466666666666667,3.14,0.53,0.36
2178,Roosevelt Roberts,The Predator,12.0,5.0,0,29.0,69,0.0,0.44,1.39,0.29,0.9,74,73,0.0,3.05,8.65,3.12,0.52,0.52
2179,Roque Martinez,473,15.0,8.0,2,37.0,69,0.0,0.53,0.38,0.5,0.4,70,72,0.0,3.28,13.116666666666667,4.9,0.56,0.53
2180,Rory MacDonald,Red King,19.0,4.0,0,34.0,67,0.08,0.42,1.77,0.47,0.4,72,76,0.0,3.75,13.7,2.8,0.62,0.88
2181,Rory Markham,463,17.0,6.0,0,41.0,69,2.7,0.21,0.0,0.0,0.0,72,71,0.0,1.98,1.85,10.27,0.45,0.0
2182,Rory Singer,Outburst,11.0,9.0,0,47.0,69,0.0,0.39,0.39,0.25,0.8,74,77,0.0,2.55,9.516666666666667,2.42,0.63,0.64
2185,Ross Pearson,The Real Deal,20.0,16.0,0,39.0,40,0.3,0.4,0.74,0.35,0.0,68,69,0.0,3.68,11.65,4.09,0.62,0.75
2187,Rostem Akman,5,6.0,2.0,0,32.0,34,0.0,0.25,1.0,0.4,0.0,70,72,3.0,1.8,15.0,3.97,0.57,0.87
2188,Rousimar Palhares,Toquinho,19.0,8.0,0,43.0,51,0.18,0.51,3.93,0.45,4.1,68,71,0.0,1.75,4.933333333333334,2.04,0.59,0.0
2189,Roybert Echeverria,The Unbroken,7.0,1.0,0,28.0,83,0.0,0.53,0.0,0.0,2.6,65,67,3.0,2.95,11.516666666666667,2.52,0.57,0.71
2192,Royston Wee,756,4.0,1.0,0,37.0,31,0.0,0.6,3.38,0.81,0.0,67,67,0.0,1.1,13.333333333333334,2.45,0.49,0.0
2193,Ruan Potts,Fangzz,11.0,6.0,0,45.0,75,0.0,0.37,0.75,0.16,2.3,74,75,0.0,0.85,6.633333333333333,5.92,0.22,0.33
2194,Ruslan Magomedov,Leopard,14.0,1.0,0,37.0,0,0.33,0.47,0.33,1.0,0.0,75,78,0.0,4.02,15.0,1.47,0.66,0.88
2195,Russell Doane,178,15.0,8.0,0,37.0,69,0.38,0.4,2.11,0.45,0.8,67,70,0.0,1.75,9.766666666666667,1.68,0.53,0.52
2196,Rustam Khabilov,Tiger,24.0,4.0,0,37.0,0,0.09,0.34,3.95,0.41,0.1,68,73,0.0,1.98,13.15,2.16,0.65,0.61
2197,Ryan Bader,Darth,23.0,5.0,0,40.0,69,0.51,0.43,3.37,0.44,0.4,74,74,0.0,2.82,10.233333333333333,1.39,0.71,0.8
2198,Ryan Benoit,Baby Face,10.0,8.0,0,34.0,69,0.71,0.39,0.28,0.22,0.4,65,68,0.0,2.88,11.816666666666666,3.65,0.58,0.72
2199,Ryan Couture,141,11.0,5.0,0,41.0,69,0.0,0.45,1.55,0.29,1.3,70,73,0.0,3.54,11.883333333333333,2.87,0.54,0.46
2200,Ryan Hall,The Wizard,9.0,2.0,0,38.0,69,0.44,0.5,0.22,0.09,2.2,70,70,1.0,2.38,11.266666666666667,1.33,0.65,0.0
2201,Ryan Janes,341,10.0,3.0,0,42.0,67,0.0,0.48,0.35,1.0,0.0,75,76,0.0,7.69,10.633333333333333,5.53,0.59,0.58
2202,Ryan Jensen,348,21.0,8.0,0,46.0,69,0.44,0.39,1.55,0.5,1.9,73,76,0.0,2.84,4.25,2.99,0.59,0.31
2203,Ryan Jimmo,The Big Deal,19.0,5.0,0,42.0,69,0.9,0.66,0.45,0.28,0.0,73,73,0.0,3.12,9.483333333333333,2.77,0.46,0.87
2204,Ryan LaFlare,406,14.0,3.0,0,40.0,69,0.2,0.4,2.13,0.44,0.2,73,74,1.0,2.89,14.783333333333333,1.86,0.63,0.58
2205,Ryan MacDonald,Main Event,10.0,2.0,0,30.0,69,0.0,0.29,0.0,0.0,0.0,71,71,3.0,2.28,9.866666666666667,6.49,0.45,0.0
2209,Ryan Spann,Superman,21.0,9.0,0,32.0,69,1.29,0.4,1.29,0.35,1.5,77,79,0.0,3.42,5.366666666666666,3.91,0.45,0.47
2211,Ryo Chonan,Piranah,22.0,13.0,0,47.0,54,0.0,0.43,0.61,0.41,0.3,69,70,0.0,2.57,15.0,2.25,0.6,0.39
2212,Sabah Homasi,The Problem,11.0,8.0,0,35.0,69,0.0,0.48,2.8,0.5,0.0,72,72,0.0,4.98,5.966666666666667,6.91,0.47,0.66
2213,Sabina Mazo,Colombian Queen,9.0,4.0,0,26.0,73,0.16,0.43,0.65,0.8,0.2,67,70,0.0,6.1,13.15,4.35,0.57,0.59
2216,Said Nurmagomedov,491,18.0,3.0,0,31.0,0,0.2,0.47,1.01,0.16,1.4,68,70,0.0,3.55,8.233333333333333,2.13,0.57,0.66
2217,Saidyokub Kakhramonov,364,10.0,3.0,0,28.0,36,0.0,0.51,6.63,0.48,1.9,68,69,0.0,2.05,12.833333333333334,0.88,0.58,0.83
2218,Saimon Oliveira,496,18.0,5.0,0,32.0,51,0.0,0.41,1.21,0.25,1.6,64,72,0.0,2.82,12.433333333333334,3.91,0.48,0.35
2220,Salim Touahri,Grizzly,10.0,4.0,0,34.0,50,0.0,0.46,0.0,0.0,0.0,70,72,0.0,2.6,15.0,2.87,0.58,0.83
2222,Sam Alvey,SmileN,33.0,18.0,1,37.0,69,0.45,0.44,0.06,0.14,0.1,74,75,1.0,3.28,9.633333333333333,3.63,0.52,0.82
2225,Sam Hughes,Sampage,8.0,5.0,0,31.0,69,0.0,0.46,1.12,0.41,0.0,65,64,0.0,3.79,13.416666666666666,4.23,0.54,0.57
2226,Sam Patterson,523,11.0,2.0,1,27.0,40,0.0,0.38,1.19,1.0,3.6,75,78,0.0,2.54,4.2,3.41,0.49,0.33
