,name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
642,David Loiseau,The Crow,23.0,11.0,0,44.0,67,0.57,0.44,0.43,0.42,0.1,72,76,0.0,1.59,11.6,3.64,0.43,0.36
643,David Onama,501,11.0,2.0,0,29.0,21,0.87,0.46,0.87,0.18,0.3,71,74,0.0,5.38,10.366666666666667,5.48,0.51,0.45
645,David Teymur,714,8.0,2.0,0,34.0,34,0.71,0.43,0.94,0.33,0.0,69,73,1.0,4.69,10.633333333333333,3.53,0.55,0.77
647,David Zawada,Sagat,17.0,7.0,0,33.0,47,0.24,0.41,0.97,0.33,1.7,72,75,0.0,3.84,12.383333333333333,4.54,0.55,0.57
648,DeAnna Bennett,The Argentine Assassin,8.0,3.0,1,39.0,69,0.0,0.58,0.0,0.0,1.0,64,68,0.0,3.13,15.0,3.27,0.58,0.0
649,Dean Barry,The Sniper,4.0,2.0,0,31.0,99,3.88,0.4,0.0,0.0,0.0,70,72,0.0,9.31,3.8666666666666667,4.66,0.51,1.0
650,Dean Lister,The Boogeyman,13.0,7.0,0,47.0,69,0.0,0.35,1.58,0.15,1.1,73,75,0.0,1.26,11.033333333333333,1.89,0.61,0.5
651,Deiveson Figueiredo,Deus da Guerra,22.0,3.0,1,36.0,51,0.91,0.55,1.65,0.44,1.6,65,68,0.0,3.08,12.133333333333333,3.46,0.51,0.58
653,Demetrious Johnson,Mighty Mouse,27.0,3.0,1,37.0,69,0.16,0.54,3.35,0.56,0.5,63,66,0.0,3.43,17.933333333333334,1.66,0.67,0.65
654,Demian Maia,455,28.0,11.0,0,46.0,51,0.04,0.43,2.49,0.24,1.0,73,72,1.0,1.8,12.416666666666666,2.07,0.63,0.61
655,Denis Kang,366,35.0,16.0,2,46.0,58,0.44,0.35,2.51,0.65,1.2,71,77,0.0,2.27,11.333333333333334,1.65,0.67,0.38
657,Denis Tiuliulin,721,10.0,9.0,0,35.0,0,0.94,0.41,0.0,0.0,0.0,73,77,0.0,4.5,6.4,6.15,0.36,0.73
658,Denise Gomes,Dee,8.0,3.0,0,24.0,51,0.57,0.48,1.13,0.33,0.8,62,63,0.0,4.81,10.6,3.66,0.49,0.47
659,Dennis Bermudez,The Menace,17.0,9.0,0,37.0,69,0.38,0.46,3.89,0.4,1.1,66,66,0.0,4.42,11.583333333333334,3.07,0.59,0.82
661,Dennis Buzukja,The Great,8.0,4.0,0,26.0,69,0.33,0.43,0.98,0.3,0.3,69,70,3.0,3.3,11.45,4.93,0.4,0.73
662,Dennis Hallman,Superman,53.0,20.0,2,48.0,69,0.18,0.44,1.79,0.3,2.1,69,72,0.0,1.12,7.466666666666667,1.96,0.43,0.25
663,Dennis Siver,660,23.0,11.0,0,45.0,0,0.47,0.32,0.87,0.32,0.3,66,70,0.0,3.87,10.683333333333334,2.67,0.65,0.65
664,Denys Bondar,Psycho,16.0,5.0,0,31.0,33,0.0,0.45,2.75,0.5,0.0,66,69,0.0,4.89,8.183333333333334,6.42,0.56,0.62
665,Dequan Townsend,The Tarantula,21.0,12.0,0,37.0,69,0.0,0.34,0.0,0.0,0.0,75,79,0.0,1.23,12.233333333333333,3.92,0.38,0.46
666,Derek Brunson,The One,23.0,9.0,0,40.0,69,0.54,0.47,3.14,0.33,0.6,73,77,1.0,3.51,8.616666666666667,3.05,0.51,0.85
668,Deron Winn,765,7.0,3.0,0,34.0,69,0.0,0.44,4.28,0.52,0.0,66,70,0.0,4.55,13.333333333333334,6.21,0.46,0.4
669,Derrick Krantz,DRock,22.0,12.0,0,36.0,69,0.0,0.37,3.18,0.5,0.8,70,72,0.0,2.07,9.433333333333334,4.03,0.5,0.0
670,Derrick Lewis,The Black Beast,27.0,12.0,0,38.0,69,0.53,0.5,0.53,0.26,0.0,75,79,0.0,2.43,9.083333333333334,2.48,0.4,0.53
671,Desmond Green,The Predator,23.0,8.0,0,34.0,69,0.16,0.46,1.62,0.5,0.0,70,73,1.0,3.7,13.266666666666667,2.51,0.69,0.75
672,Desmond Torres,723,7.0,2.0,0,27.0,69,0.0,0.64,0.0,0.0,0.0,66,69,0.0,4.8,4.583333333333333,11.78,0.48,1.0
673,Devin Clark,Brown Bear,14.0,8.0,0,33.0,69,0.25,0.55,2.35,0.33,0.1,72,75,0.0,2.99,11.166666666666666,2.95,0.43,0.6
674,Devin Powell,549,9.0,4.0,0,35.0,69,0.32,0.41,0.0,0.0,0.6,72,73,0.0,2.88,11.716666666666667,3.67,0.51,0.0
675,Devin Smyth,665,4.0,2.0,0,28.0,69,0.0,0.68,4.0,0.26,0.0,70,72,3.0,2.6,15.0,6.73,0.25,1.0
676,Devonte Smith,King Kage,11.0,4.0,0,30.0,69,1.04,0.53,0.35,0.25,0.3,69,76,0.0,4.55,6.183333333333334,3.91,0.49,0.85
677,Dhiego Lima,432,17.0,9.0,0,35.0,69,0.32,0.39,1.26,0.34,0.6,74,75,0.0,3.12,8.666666666666666,3.88,0.58,0.73
678,Diana Belbita,The Warrior Princess,15.0,8.0,0,27.0,64,0.19,0.42,0.97,0.62,0.0,67,68,0.0,6.59,12.95,6.43,0.51,0.69
679,Diego Brandao,DB,22.0,11.0,0,36.0,51,0.57,0.47,3.21,0.68,0.6,67,64,0.0,2.94,7.933333333333334,3.38,0.62,0.8
680,Diego Ferreira,226,18.0,5.0,0,39.0,51,0.36,0.37,0.71,0.22,0.7,69,74,0.0,4.66,9.033333333333333,3.42,0.56,0.63
682,Diego Lopes,437,23.0,6.0,0,29.0,51,0.53,0.53,0.0,0.0,5.3,71,72,0.0,2.47,7.083333333333333,4.91,0.37,0.42
683,Diego Nunes,The Gun,19.0,7.0,0,41.0,51,0.27,0.43,1.18,0.44,0.6,66,67,0.0,2.72,15.0,2.59,0.58,0.65
684,Diego Rivas,Pitbull,10.0,2.0,0,32.0,41,0.3,0.4,1.79,0.6,0.9,68,69,0.0,1.37,12.6,2.14,0.52,0.64
685,Diego Sanchez,Nightmare,31.0,13.0,0,42.0,69,0.25,0.37,1.51,0.24,0.8,70,72,1.0,2.69,11.9,3.02,0.56,0.46
690,Dinis Paiva,Sweetbread,13.0,8.0,0,35.0,69,1.0,0.41,0.0,0.0,0.0,69,71,1.0,2.6,15.0,2.73,0.67,0.81
692,Dmitrii Smoliakov,The Lifeguard,9.0,3.0,0,41.0,76,0.0,0.42,0.0,0.0,0.0,74,74,3.0,1.44,4.633333333333333,3.81,0.55,0.75
694,Dmitry Sosnovskiy,Wicked Machine,11.0,0.0,0,34.0,0,0.0,0.7,3.16,0.66,3.2,75,77,0.0,2.95,9.483333333333333,2.53,0.35,1.0
695,Domingo Pilarte,Son of Fire,8.0,3.0,0,34.0,69,0.0,0.47,1.2,0.42,0.8,72,73,1.0,1.31,9.383333333333333,2.96,0.4,0.54
696,Dominic Waters,Sho Nuff,9.0,5.0,0,34.0,69,0.0,0.23,4.07,0.52,0.0,73,79,0.0,0.48,11.066666666666666,2.53,0.39,0.28
697,Dominick Cruz,The Dominator,24.0,4.0,0,38.0,69,0.05,0.33,2.82,0.42,0.1,68,68,0.0,3.91,16.85,2.61,0.7,0.83
698,Dominick Reyes,The Devastator,12.0,4.0,0,34.0,69,0.71,0.5,0.36,0.28,0.4,76,77,1.0,4.75,8.416666666666666,3.77,0.48,0.8
699,Dominique Steele,NonStop ActionPacked,14.0,9.0,0,36.0,69,0.63,0.49,2.95,0.42,0.0,70,74,0.0,2.32,11.866666666666667,2.42,0.5,0.76
701,Don Madge,Magic Man,9.0,3.0,1,33.0,75,1.48,0.52,2.22,0.25,0.7,72,72,1.0,2.08,10.116666666666667,0.74,0.67,0.8
702,Don Shainis,Shameless,12.0,5.0,0,33.0,69,0.0,0.5,0.97,0.25,1.9,66,67,0.0,3.42,7.75,5.87,0.31,0.2
703,DonTale Mayes,Lord Kong,10.0,6.0,0,32.0,69,0.23,0.44,0.79,0.43,0.0,78,81,0.0,3.6,12.05,3.84,0.46,0.6
704,Donald Cerrone,Cowboy,36.0,17.0,0,40.0,69,0.81,0.46,1.16,0.33,1.2,73,73,0.0,4.41,9.666666666666666,4.48,0.53,0.73
706,Dong Hyun Kim,Stun Gun,22.0,4.0,1,42.0,24,0.3,0.49,2.93,0.43,0.6,74,76,1.0,2.12,11.083333333333334,1.89,0.58,0.71
707,Dong Hyun Ma,Maestro,16.0,11.0,3,35.0,24,0.3,0.41,1.27,0.53,0.0,71,70,0.0,2.84,11.083333333333334,4.1,0.54,0.33
708,Dongi Yang,The Ox,13.0,3.0,0,39.0,24,0.49,0.51,1.7,0.41,0.5,70,73,1.0,3.55,12.316666666666666,3.21,0.63,0.61
711,Donovan Beard,The Highlight Reel,7.0,2.0,0,34.0,69,0.0,0.0,0.0,0.0,0.0,74,78,0.0,0.0,0.8666666666666667,5.77,0.28,0.0
712,Dooho Choi,The Korean Superboy,14.0,4.0,1,32.0,24,1.16,0.53,0.29,0.2,0.0,70,70,0.0,4.74,7.383333333333334,4.91,0.54,0.5
716,Douglas Silva de Andrade,D Silva,29.0,5.0,0,38.0,51,0.61,0.38,0.61,0.46,0.2,67,68,0.0,3.66,12.3,3.99,0.58,0.7
717,Drakkar Klose,385,14.0,2.0,1,35.0,69,0.25,0.55,1.78,0.3,0.0,69,70,0.0,4.33,11.816666666666666,3.4,0.52,0.68
718,Drako Rodriguez,582,7.0,3.0,0,27.0,69,0.0,0.36,2.93,0.66,0.7,68,69,0.0,3.37,6.816666666666666,4.4,0.58,0.75
719,Drew Dober,179,27.0,12.0,0,35.0,69,0.77,0.4,0.68,0.17,0.1,68,70,1.0,4.58,7.65,4.46,0.51,0.56
720,Drew Fickett,The Master,42.0,21.0,0,44.0,69,0.24,0.41,1.3,0.35,2.2,70,70,0.0,2.33,9.016666666666667,2.29,0.57,0.3
721,Drew McFedries,The Massacre,12.0,7.0,0,45.0,69,4.27,0.51,1.42,1.0,0.7,72,72,1.0,5.13,2.3333333333333335,4.56,0.52,0.56
722,Dricus Du Plessis,Stillknocks,21.0,2.0,0,30.0,75,0.75,0.5,3.0,0.51,0.8,73,76,3.0,6.49,11.45,4.77,0.55,0.4
724,Duane Ludwig,Bang,21.0,14.0,0,45.0,69,0.43,0.44,0.43,0.25,0.1,70,70,0.0,4.62,6.4,3.05,0.57,0.59
725,Duda Santana,Cowboyzinha,3.0,1.0,0,28.0,51,0.0,0.39,6.44,0.6,0.0,67,73,0.0,6.01,6.983333333333333,2.72,0.73,0.0
726,Dusko Todorovic,Thunder,12.0,4.0,0,29.0,3,0.0,0.57,0.96,0.12,0.0,73,74,0.0,5.54,7.816666666666666,4.55,0.46,0.45
727,Dustin Hazelett,McLovin,12.0,7.0,0,37.0,69,0.0,0.4,0.55,0.5,4.1,73,76,0.0,2.24,5.433333333333334,3.51,0.46,0.25
728,Dustin Jacoby,The Hanyak,19.0,8.0,1,35.0,69,0.45,0.47,0.36,0.25,0.0,75,76,0.0,5.53,11.0,4.07,0.57,0.6
729,Dustin Joynson,360,5.0,0.0,0,38.0,67,0.0,0.53,0.0,0.0,0.0,78,78,0.0,3.28,2.1333333333333333,5.63,0.47,0.0
730,Dustin Kimura,The Diamond,11.0,3.0,0,34.0,69,0.0,0.21,0.93,0.37,2.2,67,71,0.0,1.33,9.633333333333333,3.82,0.51,0.5
731,Dustin Ortiz,504,19.0,8.0,0,35.0,69,0.17,0.44,3.01,0.36,0.1,65,65,0.0,2.94,11.95,2.17,0.56,0.52
732,Dustin Pague,The Disciple,12.0,11.0,0,36.0,69,0.0,0.53,1.03,0.44,2.6,69,74,0.0,1.65,9.733333333333333,2.96,0.41,0.55
733,Dustin Poirier,The Diamond,29.0,8.0,0,35.0,69,0.63,0.5,1.36,0.36,1.2,69,72,1.0,5.49,9.966666666666667,4.3,0.53,0.63
734,Dustin Stoltzfus,681,15.0,5.0,0,32.0,69,0.22,0.44,2.4,0.4,0.7,72,75,0.0,3.49,9.816666666666666,3.29,0.48,0.46
735,Dwight Grant,The Body Snatcher,11.0,6.0,0,39.0,69,0.61,0.36,0.61,1.0,0.0,73,76,3.0,3.29,10.966666666666667,2.66,0.6,0.66
737,Dylan Andrews,The Villain,18.0,7.0,0,44.0,59,1.21,0.5,2.83,0.5,0.4,73,74,3.0,2.21,7.416666666666667,2.72,0.46,0.57
738,Dylan Lockard,434,6.0,2.0,0,31.0,69,1.16,0.53,2.31,0.4,1.2,69,72,0.0,1.31,12.983333333333333,3.31,0.52,0.28
739,Dylan Potter,Big Poppa,10.0,6.0,0,29.0,69,0.0,0.48,0.0,0.0,1.1,74,77,3.0,3.1,13.85,5.78,0.46,0.33
740,Dylan Salvador,614,5.0,2.0,0,30.0,99,0.0,0.37,0.0,0.0,0.0,69,69,1.0,4.34,2.7666666666666666,11.57,0.46,0.0
742,Ed Herman,Short Fuse,27.0,16.0,0,43.0,69,0.23,0.48,1.96,0.47,1.0,73,77,0.0,3.31,9.633333333333333,3.71,0.42,0.59
743,Eddie Alvarez,The Underground King,29.0,6.0,0,40.0,69,0.47,0.41,2.92,0.36,0.5,69,69,0.0,4.32,9.883333333333333,4.39,0.55,0.92
744,Eddie Gordon,Truck,8.0,4.0,0,40.0,69,0.39,0.32,1.93,0.83,0.0,72,76,0.0,2.03,9.733333333333333,2.57,0.6,0.63
746,Eddie Sanchez,The Manic Hispanic,15.0,8.0,0,41.0,69,1.13,0.43,1.13,0.26,0.0,74,74,0.0,3.45,8.833333333333334,3.3,0.43,0.42
747,Eddie Wineland,764,24.0,16.0,1,39.0,69,0.88,0.29,0.34,0.33,0.1,67,69,0.0,3.4,9.633333333333333,3.76,0.68,0.86
749,Edgar Chairez,Puro Chicali,10.0,5.0,0,28.0,56,0.44,0.48,0.0,0.0,1.3,67,71,0.0,2.6,11.266666666666667,4.26,0.41,0.45
750,Edgar Garcia,250,14.0,5.0,0,39.0,56,0.55,0.29,2.21,0.57,0.6,70,71,0.0,3.16,5.433333333333334,4.23,0.6,0.5
752,Edimilson Souza,Kevin,15.0,5.0,0,39.0,69,0.9,0.44,0.0,0.0,0.0,72,74,0.0,4.65,8.333333333333334,2.91,0.58,0.5
753,Edivan Santos,Pe De Sapo,12.0,3.0,1,31.0,51,0.0,0.48,0.0,0.0,0.0,76,78,0.0,1.55,11.0,7.09,0.26,0.25
754,Edmen Shahbazyan,The Golden Boy,12.0,4.0,0,26.0,69,0.79,0.51,2.17,0.39,0.6,74,75,0.0,3.46,7.6,4.13,0.43,0.63
756,Edson Barboza,Junior,24.0,11.0,0,38.0,51,0.7,0.45,0.48,0.5,0.1,71,75,0.0,4.18,11.75,4.34,0.57,0.75
757,Edson Gomez,272,6.0,2.0,0,32.0,99,0.0,0.32,0.0,0.0,0.0,68,69,3.0,2.66,7.516666666666667,8.78,0.45,0.0
758,Eduardo Torres Caut,Cyborg,16.0,2.0,0,28.0,41,0.0,0.34,2.06,0.33,0.0,67,70,0.0,1.1,7.266666666666667,1.24,0.65,0.5
761,Edwin Figueroa,El Feroz,9.0,5.0,0,39.0,69,0.4,0.39,0.2,1.0,0.6,67,69,0.0,2.57,12.533333333333333,3.06,0.51,0.37
762,Efrain Escudero,Hecho En Mexico,28.0,12.0,0,38.0,56,0.5,0.44,1.31,0.4,0.8,69,71,0.0,2.92,12.416666666666666,2.3,0.63,0.66
764,Eli Aronov,The Israeli Tank,6.0,1.0,0,27.0,79,0.0,0.68,12.16,1.0,0.0,70,72,0.0,8.92,1.2333333333333334,6.49,0.38,0.0
765,Elias Garcia,251,6.0,2.0,0,31.0,69,0.68,0.27,0.68,0.14,1.4,65,67,1.0,1.59,11.0,5.05,0.5,0.33
766,Elias Silverio,Xuxu,13.0,3.0,0,37.0,69,0.2,0.49,1.62,0.38,0.2,71,73,0.0,3.67,14.866666666666667,2.97,0.51,0.85
767,Elias Theodorou,The Spartan,16.0,3.0,0,35.0,67,0.0,0.42,1.27,0.28,0.0,73,75,0.0,4.19,13.983333333333333,2.39,0.53,0.59
768,Elias Urbina,731,3.0,1.0,0,30.0,69,0.0,0.37,0.0,0.0,0.0,75,77,1.0,3.85,7.783333333333333,6.17,0.5,0.0
769,Eliot Marshall,Fire,10.0,4.0,0,43.0,69,0.24,0.27,0.47,0.33,0.9,74,77,0.0,1.93,10.616666666666667,2.39,0.67,0.79
770,Elise Reed,567,7.0,4.0,0,31.0,69,0.19,0.49,0.58,0.6,0.0,63,63,0.0,2.66,11.0,3.06,0.52,0.42
771,Elizabeth Phillips,540,6.0,6.0,0,37.0,69,0.0,0.33,0.75,0.25,0.2,66,65,0.0,2.6,15.0,3.07,0.58,0.53
772,Elizeu Zaleski dos Santos,Capoeira,24.0,7.0,1,37.0,51,0.17,0.42,0.43,0.13,0.4,71,73,0.0,4.52,12.533333333333333,3.33,0.57,0.68
773,Elves Brener,94,16.0,3.0,0,26.0,51,0.93,0.46,0.93,0.2,0.0,70,72,0.0,4.64,10.766666666666667,5.05,0.55,0.85
774,Elvis Sinosic,The King of Rock n Rumble,7.0,11.0,2,52.0,59,0.31,0.37,0.0,0.0,1.2,75,77,0.0,1.13,6.95,4.6,0.53,0.0
775,Emil Meek,Valhalla,9.0,5.0,1,35.0,5,0.0,0.39,0.25,0.33,1.0,71,74,3.0,2.52,15.0,2.53,0.38,0.47
778,Emily Ducote,Gordinha,13.0,8.0,0,30.0,69,0.0,0.48,0.25,0.14,0.0,62,63,0.0,6.93,15.0,7.98,0.56,0.92
780,Emily Whitmire,Spitfire,4.0,5.0,0,32.0,69,0.0,0.31,1.9,0.66,0.5,65,63,0.0,2.5,5.266666666666667,2.98,0.54,0.7
781,Emrah Sonmez,Anatolian Wolf,14.0,5.0,0,31.0,55,0.0,0.46,5.0,0.21,0.0,70,71,0.0,1.47,15.0,1.73,0.48,0.0
782,Enrique Barzola,El Fuerte,17.0,5.0,2,34.0,28,0.0,0.41,4.2,0.45,0.3,67,70,0.0,3.91,15.0,2.97,0.68,0.66
787,Eric Schafer,Red,14.0,8.0,2,46.0,69,0.0,0.34,1.81,0.36,1.8,75,76,0.0,1.89,8.283333333333333,3.38,0.56,0.5
788,Eric Shelton,Showtime,12.0,6.0,0,33.0,69,0.0,0.42,2.83,0.51,0.2,66,68,0.0,2.57,15.0,1.88,0.63,0.46
789,Eric Spicely,Zebrinha,12.0,6.0,0,37.0,69,0.0,0.45,1.31,0.2,1.0,73,73,0.0,3.71,6.55,5.72,0.55,0.75
791,Erick Gonzalez,The Ghost Pepper,14.0,8.0,0,32.0,69,0.0,0.36,6.0,0.55,0.0,71,75,0.0,2.4,4.166666666666667,8.08,0.4,0.5
792,Erick Silva,The Tiger,19.0,9.0,0,39.0,51,0.42,0.48,0.85,0.35,1.4,72,74,0.0,2.5,7.066666666666666,4.18,0.49,0.56
794,Erik Koch,Phoenix,16.0,6.0,0,35.0,69,0.34,0.42,1.02,0.42,1.0,70,71,1.0,2.33,9.466666666666667,2.82,0.47,0.81
795,Erik Perez,Goyito,17.0,6.0,0,34.0,56,0.5,0.4,3.16,0.55,0.2,68,68,0.0,3.16,10.033333333333333,2.09,0.66,0.69
796,Erik Silva,The King,9.0,2.0,0,36.0,83,0.0,0.71,3.94,0.8,0.0,69,71,0.0,2.17,7.616666666666667,1.58,0.4,0.71
797,Erin Blanchfield,Cold Blooded,12.0,1.0,0,24.0,69,0.0,0.52,2.86,0.36,1.2,64,66,0.0,5.58,10.483333333333333,3.32,0.62,0.83
798,Erisson Ferreira,Gato,12.0,2.0,0,32.0,99,0.0,0.32,1.11,1.0,1.7,66,70,0.0,1.75,13.466666666666667,2.75,0.56,0.66
799,Ernest Chavez,EJ,10.0,2.0,0,40.0,69,0.0,0.4,0.89,0.33,0.0,68,70,0.0,2.79,11.233333333333333,3.89,0.59,0.5
801,Eryk Anders,Ya Boi,15.0,8.0,0,36.0,69,0.54,0.47,1.54,0.24,0.1,73,75,1.0,3.56,12.15,4.39,0.5,0.79
802,Esteban Ribovics,El Gringo,12.0,1.0,0,27.0,2,0.95,0.52,0.95,0.66,0.5,70,69,0.0,6.16,10.5,3.4,0.52,0.6
807,Evan Dunham,193,18.0,9.0,1,42.0,69,0.13,0.39,1.82,0.33,1.0,70,70,1.0,5.33,10.966666666666667,3.54,0.61,0.79
808,Evan Elder,The Phenom,8.0,2.0,0,26.0,69,0.74,0.48,0.74,0.22,0.4,70,72,3.0,4.75,13.55,5.0,0.57,0.28
809,Evan Tanner,708,32.0,8.0,0,52.0,69,0.13,0.59,2.55,0.43,1.3,72,74,0.0,3.05,7.45,2.64,0.56,0.25
810,Everett Sims,Sexual Chocolate,4.0,1.0,0,35.0,69,0.0,0.66,0.0,0.0,1.2,77,77,1.0,0.81,12.333333333333334,2.19,0.3,0.42
813,Fabio Cherant,Water Buffalo,7.0,4.0,0,29.0,69,0.0,0.4,0.0,0.0,0.0,73,74,1.0,1.35,6.483333333333333,4.89,0.38,0.0
815,Fabio Maldonado,Caipira de Aco,23.0,11.0,0,43.0,51,0.11,0.58,0.44,0.57,0.6,73,75,0.0,5.29,12.316666666666666,4.31,0.53,0.61
817,Fabricio Camoes,Morango,14.0,9.0,1,45.0,51,0.0,0.33,2.34,0.32,1.5,70,71,0.0,1.29,7.816666666666666,1.85,0.61,0.2
818,Fabricio Werdum,Vai Cavalo,24.0,9.0,1,46.0,51,0.31,0.52,1.75,0.31,1.2,76,77,0.0,3.59,10.466666666666667,2.64,0.55,0.31
820,Farid Basharat,Ferocious,12.0,0.0,0,26.0,25,0.0,0.58,3.96,0.41,0.6,68,71,0.0,4.47,12.316666666666666,2.44,0.57,0.83
821,Felice Herrig,Lil Bulldog,14.0,10.0,0,39.0,69,0.0,0.37,1.08,0.28,0.8,64,65,0.0,3.84,11.083333333333334,5.19,0.48,0.75
822,Felicia Spencer,FeeNom,9.0,3.0,0,33.0,67,0.0,0.48,1.18,0.18,0.2,66,68,0.0,3.21,12.733333333333333,4.54,0.45,0.27
823,Felipe Arantes,Sertanejo,18.0,10.0,1,35.0,51,0.1,0.45,0.93,0.47,0.7,68,73,0.0,2.37,12.05,2.66,0.64,0.41
824,Felipe Bunes,Felipinho,13.0,7.0,0,34.0,51,0.0,0.54,3.15,0.33,0.0,67,69,0.0,5.25,9.516666666666667,8.72,0.41,0.0
825,Felipe Colares,Cabocao,10.0,4.0,0,29.0,51,0.0,0.45,1.88,0.24,0.5,68,69,0.0,2.17,14.666666666666666,4.65,0.36,0.43
827,Felipe Silva,653,8.0,2.0,0,39.0,51,2.0,0.5,1.0,1.0,0.0,72,77,0.0,5.4,5.0,1.8,0.59,0.71
828,Felipe dos Santos,Lipe Detona,7.0,1.0,0,23.0,51,0.0,0.32,0.0,0.0,0.0,67,70,0.0,6.6,15.0,7.47,0.38,0.0
831,Fernando Padilla,El Valiente,15.0,5.0,0,27.0,56,0.9,0.38,0.0,0.0,0.0,73,76,0.0,5.51,8.35,5.81,0.53,1.0
832,Fernie Garcia,252,10.0,4.0,0,31.0,69,0.32,0.34,0.32,0.5,0.6,67,67,0.0,1.8,11.8,2.69,0.5,0.47
835,Forrest Griffin,286,19.0,7.0,0,44.0,69,0.16,0.36,1.05,0.48,0.7,75,77,0.0,4.38,10.3,2.81,0.61,0.57
836,Forrest Petz,The Meat Cleaver,26.0,10.0,0,48.0,69,0.93,0.29,1.3,1.0,0.0,69,71,0.0,2.27,11.583333333333334,2.2,0.57,0.66
838,Francimar Barroso,Bodao,19.0,7.0,0,43.0,69,0.0,0.52,2.22,0.24,0.0,73,75,0.0,2.77,12.75,3.07,0.59,0.83
839,Francis Carmont,Limitless,25.0,12.0,0,42.0,58,0.12,0.42,1.79,0.36,0.6,75,78,0.0,2.22,11.333333333333334,1.64,0.59,0.73
840,Francis Marshall,Fire,7.0,2.0,0,24.0,69,0.37,0.33,3.29,0.5,0.7,69,72,0.0,3.66,10.266666666666667,4.07,0.53,0.0
841,Francisco Figueiredo,Sniper,13.0,5.0,1,34.0,51,0.0,0.61,2.51,0.75,0.4,66,68,1.0,2.04,8.966666666666667,2.59,0.61,0.76
842,Francisco Prado,551,12.0,1.0,0,21.0,2,0.79,0.5,0.0,0.0,0.8,70,69,0.0,3.46,9.55,3.83,0.46,0.25
843,Francisco Rivera,Cisco,11.0,7.0,0,42.0,69,0.72,0.41,1.01,0.63,0.6,68,70,0.0,4.07,8.633333333333333,3.16,0.68,0.68
844,Francisco Trevino,Sitkayan,13.0,3.0,0,42.0,69,0.0,0.42,0.97,0.22,0.0,69,70,0.0,2.65,10.316666666666666,2.42,0.64,0.41
845,Francisco Trinaldo,Massaranduba,28.0,9.0,0,45.0,51,0.23,0.45,0.98,0.42,0.5,69,70,1.0,3.13,12.383333333333333,2.67,0.6,0.6
846,Frank Camacho,The Crank,22.0,10.0,0,34.0,69,0.0,0.46,1.11,0.31,0.0,70,73,0.0,6.56,8.433333333333334,7.44,0.51,0.73
851,Frank Trigg,Twinkle Toes,21.0,9.0,0,51.0,69,0.55,0.46,2.35,0.47,0.8,69,71,1.0,2.79,3.9166666666666665,1.9,0.56,0.75
852,Frankie Edgar,The Answer,23.0,11.0,1,42.0,69,0.09,0.4,2.29,0.31,0.3,66,68,0.0,3.77,15.9,2.82,0.65,0.65
853,Frankie Perez,531,10.0,4.0,0,34.0,69,0.35,0.41,1.75,0.41,0.3,71,73,0.0,1.64,10.7,2.17,0.54,0.5
854,Frankie Saenz,603,13.0,7.0,0,43.0,69,0.23,0.47,1.74,0.31,0.1,66,66,0.0,3.94,12.933333333333334,3.5,0.52,0.61
856,Freddy Emiliano Linares,Golden Bull,8.0,2.0,0,26.0,38,0.0,0.28,0.0,0.0,0.0,68,72,0.0,1.17,14.5,3.59,0.26,0.33
857,Fredson Paixao,Freddy Passion,10.0,5.0,0,44.0,51,0.0,0.54,0.62,0.11,2.2,66,66,0.0,1.71,9.7,2.31,0.62,0.1
858,Fredy Serrano,El Profe,3.0,2.0,0,44.0,73,0.35,0.26,2.84,0.25,0.0,63,65,0.0,1.58,10.583333333333334,1.89,0.61,0.84
859,Gabe Green,Gifted,11.0,5.0,0,30.0,69,0.55,0.45,0.83,0.5,0.3,70,73,3.0,6.28,10.85,6.95,0.47,0.53
861,Gabriel Benitez,Moggly,23.0,12.0,0,35.0,56,0.48,0.41,0.24,0.5,1.0,68,71,1.0,4.92,8.866666666666667,4.26,0.62,0.55
862,Gabriel Bonfim,Marretinha,15.0,1.0,0,26.0,51,0.0,0.4,4.75,0.71,3.8,73,72,0.0,4.87,3.95,5.25,0.59,1.0
864,Gabriel Gonzaga,Napao,17.0,11.0,0,44.0,51,0.7,0.45,2.8,0.39,1.1,74,76,0.0,2.12,6.516666666666667,2.94,0.57,0.66
865,Gabriel Santos,Mosquitinho,10.0,2.0,0,27.0,51,0.0,0.55,4.34,0.46,1.2,69,70,0.0,4.46,12.116666666666667,6.03,0.44,0.66
866,Gabriel Silva,654,8.0,2.0,0,29.0,51,0.0,0.34,1.5,0.25,0.5,66,71,0.0,1.3,15.0,3.47,0.45,0.38
867,Gabriella Fernandes,Gabi,8.0,3.0,0,30.0,51,0.0,0.47,0.0,0.0,0.0,66,66,1.0,1.63,15.0,2.7,0.47,0.61
868,Gadzhi Omargadzhiev,498,13.0,2.0,0,30.0,0,0.0,0.39,1.35,0.3,0.5,73,71,3.0,1.8,11.083333333333334,2.2,0.39,0.6
869,Gadzhimurad Antigulov,37,20.0,8.0,0,36.0,0,0.0,0.55,5.08,0.36,1.4,71,70,0.0,2.08,3.45,4.21,0.4,0.0
870,Gaetano Pirrello,El Tigre,15.0,7.0,1,31.0,22,0.0,0.55,0.0,0.0,0.0,67,65,0.0,0.99,5.533333333333333,2.44,0.42,0.3
