name,nickname,wins,losses,draws,height,weight,reach,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins)
Garrett Gross,,11,7,0,"5' 9""",155 lbs.,--,Orthodox,8-Aug-88,2.39,45%,1.67,46%,0,0%,52%,0
Kendall Grove,Da Spyder,23,17,0 (1 NC),"6' 6""",185 lbs.,"79""",Orthodox,12-Nov-82,2.31,41%,2.4,54%,0.49,45%,56%,1.7
Neil Grove,Goliath,12,8,1,"6' 6""",265 lbs.,--,Orthodox,18-Jan-71,0,0%,0,0%,0,0%,100%,14.3
Chris Gruetzemacher,Gritz,15,5,0,"5' 8""",155 lbs.,"68""",Orthodox,16-Jun-86,6.18,57%,4.96,52%,0.21,50%,65%,0
Vik Grujic,The Spartan,6,6,0,"5' 11""",170 lbs.,"73""",Orthodox,6-Feb-77,2.24,48%,3.39,41%,1.18,33%,26%,0.4
Mike Grundy,,12,4,0,"5' 7""",145 lbs.,"72""",Orthodox,3-Jan-87,2.09,45%,4.45,56%,4.06,28%,50%,0.4
Wang Guan,The Dongbei Tiger,20,1,1,"5' 9""",145 lbs.,"71""",Orthodox,14-Mar-86,4.73,43%,3.27,60%,0,0%,0%,0
Nandor Guelmino,The Hun,11,5,1,"6' 3""",230 lbs.,--,,20-Dec-75,3.62,56%,3.16,33%,0,0%,42%,0
Fabricio Guerreiro,,21,5,0 (1 NC),"5' 10""",145 lbs.,--,,24-Jul-90,1.87,31%,2.2,67%,2,50%,0%,0
Rainn Guerrero,Purple Rainn,5,2,0,"5' 6""",125 lbs.,"65""",Orthodox,13-May-92,0.65,33%,0.87,50%,3.27,100%,0%,0
Shannon Gugerty,,15,7,0,"5' 10""",155 lbs.,"71""",Orthodox,30-Dec-81,1.25,39%,1.88,58%,2.13,27%,50%,3.4
Clay Guida,The Carpenter,38,21,0,"5' 7""",155 lbs.,"70""",Orthodox,8-Dec-81,2.64,33%,3.01,61%,3.13,36%,67%,0.6
Jason Guida,,19,28,0 (2 NC),"5' 10""",214 lbs.,--,,4-Aug-77,1.87,40%,3.33,52%,1,14%,50%,1
Melvin Guillard,The Young Assassin,32,18,2 (3 NC),"5' 9""",155 lbs.,"71""",Orthodox,30-Mar-83,2.96,40%,1.85,66%,1.3,63%,61%,0.2
Chris Guillen,,13,16,0,"6' 0""",240 lbs.,--,Orthodox,9-Dec-72,0.82,27%,1.91,36%,0,0%,0%,0
Marcelo Guimaraes,Magrao,9,2,1,"6' 0""",185 lbs.,"73""",Orthodox,25-Jun-83,4.67,51%,4.41,62%,1.99,13%,0%,0
Leonardo Guimaraes,Leleco,11,5,0 (1 NC),"6' 0""",185 lbs.,--,Orthodox,15-Apr-82,2.35,56%,2.99,44%,0,0%,52%,1
Brad Gumm,,10,6,1 (1 NC),"5' 11""",170 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
John Gunderson,Quick Guns,35,16,2,"5' 9""",155 lbs.,"69""",Orthodox,5-Jan-79,1.04,27%,1.71,58%,1.67,33%,11%,2
John Gunther,The Machine,5,1,0,"5' 9""",155 lbs.,"72""",Orthodox,24-Nov-85,1.65,37%,3.72,46%,7.08,42%,0%,0
Jorge Gurgel,,14,10,0,"5' 7""",155 lbs.,"69""",Orthodox,25-Jan-77,3.37,32%,3.62,62%,0.81,23%,60%,0.5
Fabio Gurgel,,3,2,0,"6' 0""",205 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
Bogdan Guskov,Czarevitch,14,3,0,"6' 3""",205 lbs.,"76""",Orthodox,12-Sep-92,2.12,32%,6.9,43%,0,0%,0%,0
Gugun Gusman,The Tiger,8,4,0,"5' 7""",135 lbs.,"68""",Orthodox,3-Mar-90,0.88,27%,6.18,41%,0,0%,33%,0
Andre Gusmao,,6,3,0,"6' 0""",205 lbs.,--,Orthodox,19-May-77,2.79,43%,3.28,60%,0,0%,60%,0
Alexander Gustafsson,The Mauler,18,8,0,"6' 5""",205 lbs.,"79""",Orthodox,15-Jan-87,4.03,40%,3.53,51%,1.53,39%,83%,0.4
Justin Guthrie,,18,9,0,"6' 1""",170 lbs.,--,,19-Jan-81,0.16,33%,3.74,14%,2.44,25%,0%,4.9
Horacio Gutierrez,The Punisher,4,3,0,"5' 10""",145 lbs.,--,,15-Sep-90,0.86,26%,2.91,46%,0,0%,50%,0
Chris Gutierrez,El Guapo,20,6,2,"5' 9""",135 lbs.,"67""",Orthodox,22-Apr-91,4.8,58%,2.79,63%,0.28,30%,69%,0.1
Mando Gutierrez,El Toro,7,2,0,"5' 6""",135 lbs.,"70""",Southpaw,24-Feb-97,0.8,75%,1.33,50%,1,100%,40%,1
Mike Guymon,The Joker,15,6,1,"6' 0""",170 lbs.,"74""",Orthodox,17-Sep-74,2.75,65%,0.79,66%,1.87,37%,54%,1.2
Chelsea Hackett,Hammer,3,1,1,"5' 4""",125 lbs.,"66""",Switch,16-Aug-98,2.58,51%,4.85,46%,0,0%,57%,0
Keith Hackney,The Giant Killer,2,2,0,"5' 11""",200 lbs.,--,Sideways,--,0,0%,0,0%,0,0%,0%,0
Jake Hadley,White Kong,10,2,0,"5' 7""",125 lbs.,"70""",Southpaw,3-Aug-96,3.42,44%,3.2,60%,0.32,25%,35%,2.2
Steve Hadsel,,3,0,0,"5' 8""",170 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Damir Hadzovic,The Bosnian Bomber,14,7,0,"5' 9""",155 lbs.,"70""",Orthodox,8-Aug-86,3.36,48%,3.26,62%,0.78,55%,34%,0.2
Bassil Hafez,The Habibi,8,4,1,"5' 11""",170 lbs.,"72""",Orthodox,31-Jan-92,2.13,25%,5.53,39%,3,15%,50%,0
Tim Hague,The Trashing Machine,21,13,0,"6' 4""",260 lbs.,"76""",Orthodox,9-May-83,2.79,47%,4.14,46%,1.72,33%,85%,0.9
Yazan Hajeh,Yazzle Dazzle,6,1,0,"5' 9""",145 lbs.,--,Orthodox,4-Sep-92,1.54,25%,17.44,44%,0,0%,100%,0
Stoney Hale,The Skuller,5,3,0,"6' 0""",--,--,,18-Oct-79,0,0%,0,0%,0,0%,0%,0
Kevin Haley,The North Woods Nightmare,6,4,0,"6' 2""",205 lbs.,--,,--,0.87,59%,0.87,64%,3,100%,0%,2
Mark Hall,,5,6,0,"6' 0""",190 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
Uriah Hall,Prime Time,18,11,0,"6' 0""",185 lbs.,"79""",Orthodox,31-Jul-84,3.23,48%,3.85,54%,0.54,38%,64%,0.1
Ryan Hall,The Wizard,9,2,0,"5' 10""",145 lbs.,"70""",Southpaw,22-Feb-85,2.38,50%,1.33,65%,0.22,9%,0%,2.2
Dennis Hallman,Superman,53,20,2 (1 NC),"5' 9""",155 lbs.,"72""",Orthodox,2-Dec-75,1.12,44%,1.96,43%,1.79,30%,25%,2.1
Piotr Hallmann,Pletwal,18,6,0,"5' 9""",155 lbs.,"71""",Orthodox,25-Aug-87,3.98,45%,3.17,58%,2.55,44%,70%,0.4
Tony Halme,,0,4,0,"6' 3""",300 lbs.,--,Orthodox,6-Jan-63,0,0%,0,0%,0,0%,0%,0
Brandon Halsey,Bull,9,3,0,"6' 0""",185 lbs.,--,,16-Sep-86,1.74,47%,0.87,65%,4.98,53%,100%,1.2
John Halverson,The Hurricane,16,8,0 (1 NC),"5' 9""",155 lbs.,--,Southpaw,8-Sep-72,2.94,43%,5.29,47%,0,0%,66%,2
Seo Hee Ham,,17,8,0,"5' 2""",115 lbs.,"62""",Southpaw,8-Mar-87,4.2,39%,5.15,61%,0,0%,66%,0.2
Frank Hamaker,,1,0,0,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
Kazuhiro Hamanaka,,5,7,1,"6' 0""",185 lbs.,--,Southpaw,24-Oct-78,1.7,37%,0.91,60%,0,0%,50%,0
Rami Hamed,,12,3,0,--,170 lbs.,--,,25-Apr-91,0,0%,0,0%,0,0%,0%,0
Matt Hamill,The Hammer,12,8,0,"6' 1""",205 lbs.,"76""",Orthodox,5-Oct-76,3.69,42%,3.8,61%,3,34%,91%,0
Jeremy Hamilton,Hawk,9,2,0,--,185 lbs.,--,,14-Nov-84,0,0%,0,0%,0,0%,0%,0
Anthony Hamilton,Freight Train,15,9,0,"6' 5""",260 lbs.,"76""",Orthodox,14-Apr-80,3.91,65%,3.02,45%,2.62,42%,78%,0
CJ Hamilton,The Autobot,11,4,0,"5' 7""",125 lbs.,"68""",Switch,7-Oct-86,2.47,31%,3.93,58%,0,0%,62%,0
Jared Hamman,The Messenger,14,6,0,"6' 3""",185 lbs.,"75""",Orthodox,7-Mar-82,5.15,42%,3.93,55%,1.57,46%,30%,0
James Hammortree,The Sledge,6,3,0,"6' 3""",185 lbs.,--,Orthodox,29-Nov-83,1.93,30%,4.13,44%,2,50%,100%,1
Dean Hancock,The Hammer,2,1,0,--,155 lbs.,--,,--,7.97,63%,1.94,67%,1.71,33%,75%,1.7
Chad Hanekom,Superman,9,3,0,"6' 4""",185 lbs.,"74""",Orthodox,20-Apr-90,0.73,47%,1.47,33%,0,0%,71%,1
Joachim Hansen,Hellboy,23,14,1,"5' 7""",150 lbs.,--,Southpaw,26-May-79,2.01,43%,2.04,58%,2.21,58%,34%,1.9
Kay Hansen,,7,6,0,"5' 2""",115 lbs.,"63""",Orthodox,14-Aug-99,3.01,50%,3.19,51%,1.83,22%,37%,0.8
Nasrat Haqparast,,16,5,0,"5' 10""",155 lbs.,"72""",Southpaw,22-Aug-95,5.78,44%,5.25,64%,0.31,20%,78%,0
Shin Haraguchi,,7,0,0 (1 NC),"5' 6""",155 lbs.,"68""",Switch,27-Nov-98,2.99,70%,0.65,39%,14.01,80%,0%,0
Janay Harding,Hollowpoint,2,3,0,--,135 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Antoni Hardonk,,8,6,0,"6' 4""",245 lbs.,"78""",Orthodox,5-Feb-76,3.4,61%,3.07,46%,0,0%,40%,0.9
George Hardwick,King,12,2,0,"5' 10""",155 lbs.,"72""",Orthodox,6-Dec-96,3.6,38%,4.6,71%,0,0%,83%,0
Dan Hardy,The Outlaw,25,10,0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,17-May-82,2.46,35%,3.44,51%,0.73,35%,35%,0.4
Veronica Hardy,,8,4,1,"5' 4""",125 lbs.,"64""",Southpaw,30-Oct-95,3.27,45%,4.1,46%,1.27,41%,57%,0.4
Greg Hardy,Prince of War,7,5,0 (1 NC),"6' 5""",265 lbs.,"80""",Orthodox,28-Jul-88,4.79,50%,3.31,55%,0.2,33%,64%,0
Tobias Harila,Bad Intention,12,3,0,--,--,--,,13-Jan-94,0,0%,0,0%,0,0%,0%,0
Baru Harn,Seiryu,1,2,0,--,265 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Scott Harper,,12,7,0,"6' 0""",185 lbs.,--,Orthodox,14-Apr-72,1.3,54%,4.98,47%,3.25,100%,0%,0
Josiah Harrell,Muscle Hamster,7,0,0,"5' 7""",170 lbs.,"68""",Southpaw,13-Nov-98,0,0%,0,0%,0,0%,0%,0
Gerry Harris,,1,4,0,"6' 8""",270 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
Gerald Harris,,23,5,0,"5' 11""",185 lbs.,"77""",Southpaw,19-Nov-79,1.41,29%,1.58,62%,2.96,54%,72%,0
Phil Harris,Billy,22,12,0 (2 NC),"5' 4""",125 lbs.,"65""",Orthodox,4-Sep-83,2.34,26%,3.16,68%,1.76,21%,60%,0
Walt Harris,The Big Ticket,13,10,0 (1 NC),"6' 5""",250 lbs.,"77""",Southpaw,10-Jun-83,3.05,39%,3.33,54%,0.29,28%,70%,0.1
Dhafir Harris,Dada 5000,2,0,0 (1 NC),--,257 lbs.,--,,4-Aug-77,0,0%,0,0%,0,0%,0%,0
Trevor Harris,,2,2,0,"5' 6""",145 lbs.,--,,--,1.73,50%,0.43,75%,0,0%,50%,6.5
Carlston Harris,Mocambique,19,5,0,"6' 0""",170 lbs.,"76""",Orthodox,9-Jul-87,2.93,49%,2.44,53%,2.05,29%,55%,0.8
Collin Hart,,6,3,1,"6' 1""",185 lbs.,--,Orthodox,12-Oct-89,6.33,44%,7.53,51%,2,16%,50%,0
Dale Hartt,,6,3,0,"5' 10""",155 lbs.,"69""",Orthodox,4-Apr-79,1.14,35%,1.55,66%,1.22,100%,25%,2.5
Luke Hartwig,,0,1,0,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
Clay Harvison,Bushwacker,13,6,0,"6' 1""",170 lbs.,"74""",Orthodox,25-Sep-80,3.29,48%,3.91,58%,0.66,100%,68%,1.3
Hidehiko Hasegawa,,19,20,6,"5' 9""",170 lbs.,--,,13-Jul-78,0,0%,0,0%,0,0%,0%,0
Chris Haseman,The Hammer,20,17,0,"5' 11""",205 lbs.,--,Orthodox,2-Jun-69,0.93,70%,4.67,28%,0,0%,40%,2
Takayo Hashi,,15,6,1,"5' 4""",135 lbs.,--,Orthodox,2-Oct-77,2.84,26%,6.56,61%,0,0%,0%,0
Tomohiko Hashimoto,,1,4,0,"6' 0""",250 lbs.,--,Orthodox,--,0,0%,11.67,30%,0,0%,0%,0
Justin Haskins,,7,6,0,"5' 10""",170 lbs.,--,Orthodox,30-Aug-79,1.51,33%,2.65,54%,1.62,40%,52%,0.8
