fight,winner,loser,event,date,venue,title_fight,billing,winner_wins,loser_wins,winner_losses,loser_losses,winner_draws,loser_draws,winner_age,loser_age,belt_status,winner_nationality,loser_nationality,winner_fan ,loser_fan
Matt Schnell vs Sumudaerji,Matt Schnell,Sumudaerji,UFC on ABC 3: Ortega vs. Rodriguez,07.16.2022,UBS Arena,no,Main Card,15,16,6,4,0,0,32,26,,United States,China,81%,19%
Shane Burgos vs Charles Jourdain,Shane Burgos,Charles Jourdain,UFC on ABC 3: Ortega vs. Rodriguez,07.16.2022,UBS Arena,no,Main Card,14,13,3,4,0,1,31,26,,United States,Canada,26%,74%
Lauren Murphy vs Miesha Tate,Lauren Murphy,Miesha Tate,UFC on ABC 3: Ortega vs. Rodriguez,07.16.2022,UBS Arena,no,Main Card,15,19,5,8,0,0,38,35,,United States,United States,72%,28%
Punahele Soriano vs Dalcha Lungiambula,Punahele Soriano,Dalcha Lungiambula,UFC on ABC 3: Ortega vs. Rodriguez,07.16.2022,UBS Arena,no,Preliminary Card,8,11,2,4,0,0,29,34,,United States,Democratic Republic Of Congo,89%,11%
Ricky Simón vs Jack Shore,Ricky Simón,Jack Shore,UFC on ABC 3: Ortega vs. Rodriguez,07.16.2022,UBS Arena,no,Preliminary Card,19,16,3,0,0,0,29,27,,United States,Wales,71%,29%
Bill Algeo vs Herbert Burns,Bill Algeo,Herbert Burns,UFC on ABC 3: Ortega vs. Rodriguez,07.16.2022,UBS Arena,no,Preliminary Card,15,11,6,3,0,0,33,34,,United States,Brazil,42%,58%
Dustin Jacoby vs Da Un Jung,Dustin Jacoby,Da Un Jung,UFC on ABC 3: Ortega vs. Rodriguez,07.16.2022,UBS Arena,no,Preliminary Card,17,15,5,2,1,1,34,28,,United States,South Korea,51%,49%
Dustin Stoltzfus vs Dwight Grant,Dustin Stoltzfus,Dwight Grant,UFC on ABC 3: Ortega vs. Rodriguez,07.16.2022,UBS Arena,no,Preliminary Card,13,11,4,5,0,0,30,37,,United States,United States,33%,67%
Emily Ducote vs Jessica Penne,Emily Ducote,Jessica Penne,UFC on ABC 3: Ortega vs. Rodriguez,07.16.2022,UBS Arena,no,Preliminary Card,11,14,6,5,0,0,28,39,,United States,United States,29%,71%
Rafael Fiziev vs Rafael dos Anjos,Rafael Fiziev,Rafael dos Anjos,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Main Event,11,31,1,13,0,0,29,37,,Azerbaijan,Brazil,30%,70%
Caio Borralho vs Armen Petrosyan,Caio Borralho,Armen Petrosyan,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Co-Main Event,11,6,1,1,0,0,29,31,,Brazil,Armenia,84%,16%
Said Nurmagomedov vs Douglas Silva de Andrade,Said Nurmagomedov,Douglas Silva de Andrade,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Main Card,15,28,2,4,0,0,30,37,,Russia,Brazil,92%,8%
Chase Sherman vs Jared Vanderaa,Chase Sherman,Jared Vanderaa,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Main Card,15,12,10,8,0,0,32,30,,United States,United States,82%,18%
Aiemann Zahabi vs Ricky Turcios,Aiemann Zahabi,Ricky Turcios,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Main Card,8,11,2,2,0,0,34,29,,Canada,United States,83%,17%
Jamie Mullarkey vs Michael Johnson,Jamie Mullarkey,Michael Johnson,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Main Card,14,20,5,17,0,0,27,36,,Australia,United States,68%,32%
Cody Brundage vs Tresean Gore,Cody Brundage,Tresean Gore,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Preliminary Card,7,3,2,1,0,0,28,28,,United States,United States,67%,33%
Antonina Shevchenko vs Cortney Casey,Antonina Shevchenko,Cortney Casey,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Preliminary Card,9,10,4,9,0,0,37,35,,Kyrgyzstan,United States,27%,73%
David Onama vs Garrett Armfield,David Onama,Garrett Armfield,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Preliminary Card,9,8,1,2,0,0,28,25,,Uganda,United States,97%,3%
Kennedy Nzechukwu vs Karl Roberson,Kennedy Nzechukwu,Karl Roberson,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Preliminary Card,9,9,3,5,0,0,30,31,,Nigeria,United States,17%,83%
Saidyokub Kakhramonov vs Ronnie Lawrence,Saidyokub Kakhramonov,Ronnie Lawrence,UFC Fight Night: Dos Anjos vs. Fiziev,07.09.2022,UFC APEX,no,Preliminary Card,9,8,2,1,0,0,26,30,,Uzbekistan,United States,63%,37%
Israel Adesanya vs Jared Cannonier,Israel Adesanya,Jared Cannonier,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,yes,Main Event,22,15,1,5,0,0,32,38,Held by Adesanya,Nigeria,United States,10%,90%
Alexander Volkanovski vs Max Holloway,Alexander Volkanovski,Max Holloway,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,yes,Co-Main Event,24,23,1,6,0,0,33,30,Held by Volkanovski,Australia,United States,64%,36%
Alex Pereira vs Sean Strickland,Alex Pereira,Sean Strickland,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Main Card,5,25,1,3,0,0,34,31,,Brazil,United States,50%,50%
Bryan Barberena vs Robbie Lawler,Bryan Barberena,Robbie Lawler,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Main Card,17,29,8,15,0,0,33,40,,United States,,55%,45%
Pedro Munhoz vs Sean O'Malley,,,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Main Card,19,15,7,1,0,0,35,27,,Brazil,United States,17%,83%
Jalin Turner vs Brad Riddell,Jalin Turner,Brad Riddell,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Preliminary Card,12,10,5,2,0,0,27,30,,United States,New Zealand,41%,59%
Jim Miller vs Donald Cerrone,Jim Miller,Donald Cerrone,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Preliminary Card,34,36,16,16,0,0,38,39,,United States,,74%,26%
Ian Machado Garry vs Gabe Green,Ian Machado Garry,Gabe Green,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Preliminary Card,9,11,0,3,0,0,24,29,,Ireland,United States,81%,19%
Dricus Du Plessis vs Brad Tavares,Dricus Du Plessis,Brad Tavares,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Preliminary Card,16,19,2,6,0,0,28,34,,South Africa,United States,17%,83%
André Muniz vs Uriah Hall,André Muniz,Uriah Hall,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Preliminary Card,22,17,4,10,0,0,32,37,,Brazil,Jamaica,84%,16%
Maycee Barber vs Jessica Eye,Maycee Barber,Jessica Eye,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Preliminary Card,10,15,2,10,0,0,24,35,,United States,United States,11%,89%
Julija Stoliarenko vs Jessica-Rose Clark,Julija Stoliarenko,Jessica-Rose Clark,UFC 276: Adesanya vs. Cannonier,07.02.2022,T-Mobile Arena,no,Preliminary Card,9,11,6,7,1,0,29,34,,Lithuania,Australia,86%,14%
Mateusz Gamrot vs Arman Tsarukyan,Mateusz Gamrot,Arman Tsarukyan,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Main Event,20,18,1,2,0,0,31,25,,Poland,Armenia,27%,73%
Shavkat Rakhmonov vs Neil Magny,Shavkat Rakhmonov,Neil Magny,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Co-Main Event,15,26,0,8,0,0,27,34,,Kazakhstan,,11%,89%
Josh Parisian vs Alan Baudot,Josh Parisian,Alan Baudot,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Main Card,14,8,5,3,0,0,32,34,,United States,France,43%,57%
Thiago Moisés vs Christos Giagos,Thiago Moisés,Christos Giagos,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Main Card,15,19,6,9,0,0,27,32,,Brazil,United States,9%,91%
Umar Nurmagomedov vs Nate Maness,Umar Nurmagomedov,Nate Maness,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Main Card,14,14,0,1,0,0,26,30,,Russia,United States,94%,6%
Chris Curtis vs Rodolfo Vieira,Chris Curtis,Rodolfo Vieira,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Main Card,28,8,8,1,0,0,34,32,,United States,Brazil,25%,75%
Carlos Ulberg vs Tafon Nchukwi,Carlos Ulberg,Tafon Nchukwi,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Preliminary Card,5,6,1,2,0,0,31,27,,New Zealand,Cameroon,63%,37%
Shayilan Nuerdanbieke vs TJ Brown,Shayilan Nuerdanbieke,TJ Brown,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Preliminary Card,37,16,10,8,0,0,28,32,,China,United States,82%,18%
Sergey Morozov vs Raulian Paiva,Sergey Morozov,Raulian Paiva,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Preliminary Card,17,21,5,4,0,0,33,26,,Kazakhstan,Brazil,55%,45%
Cody Durden vs JP Buys,Cody Durden,JP Buys,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Preliminary Card,12,9,4,4,1,0,31,26,,United States,South Africa,68%,32%
Mario Bautista vs Brian Kelleher,Mario Bautista,Brian Kelleher,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Preliminary Card,9,24,2,13,0,0,28,35,,United States,United States,64%,36%
Vanessa Demopoulos vs Jinh Yu Frey,Vanessa Demopoulos,Jinh Yu Frey,UFC Fight Night: Tsarukyan vs. Gamrot,06.25.2022,UFC APEX,no,Preliminary Card,7,11,4,6,0,0,33,37,,Greece,United States,28%,72%
Josh Emmett vs Calvin Kattar,Josh Emmett,Calvin Kattar,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Main Event,17,23,2,5,0,0,37,34,,United States,United States,14%,86%
Kevin Holland vs Tim Means,Kevin Holland,Tim Means,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Co-Main Event,22,32,7,12,0,1,29,38,,United States,United States,91%,9%
Joaquin Buckley vs Albert Duraev,Joaquin Buckley,Albert Duraev,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Main Card,14,15,4,3,0,0,28,33,,United States,Russia,36%,64%
Damir Ismagulov vs Guram Kutateladze,Damir Ismagulov,Guram Kutateladze,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Main Card,23,12,1,2,0,0,31,30,,Kazakhstan,Georgia,26%,74%
Gregory Rodrigues vs Julian Marquez,Gregory Rodrigues,Julian Marquez,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Main Card,11,9,4,2,0,0,30,32,,Brazil,United States,44%,56%
Adrian Yanez vs Tony Kelley,Adrian Yanez,Tony Kelley,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Main Card,15,8,3,2,0,0,28,35,,United States,United States,94%,6%
Natália Silva vs Jasmine Jasudavicius,Natália Silva,Jasmine Jasudavicius,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Preliminary Card,12,7,5,1,1,0,25,33,,Brazil,Canada,19%,81%
Jeremiah Wells vs Court McGee,Jeremiah Wells,Court McGee,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Preliminary Card,10,21,2,10,1,0,35,37,,United States,,32%,68%
Ricardo Ramos vs Danny Chavez,Ricardo Ramos,Danny Chavez,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Preliminary Card,15,11,4,4,0,1,26,35,,Brazil,United States,90%,10%
Maria Oliveira vs Gloria de Paula,Maria Oliveira,Gloria de Paula,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Preliminary Card,12,6,5,4,0,0,25,27,,Brazil,Brazil,80%,20%
Cody Stamann vs Eddie Wineland,Cody Stamann,Eddie Wineland,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Preliminary Card,19,24,5,15,1,1,32,37,,United States,,95%,5%
Phil Hawes vs Deron Winn,Phil Hawes,Deron Winn,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Preliminary Card,11,7,3,2,0,0,33,33,,United States,United States,90%,10%
Roman Dolidze vs Kyle Daukaus,Roman Dolidze,Kyle Daukaus,UFC Fight Night: Kattar vs. Emmett,06.18.2022,Moody Center,no,Preliminary Card,9,11,1,2,0,0,33,29,,Georgia,United States,80%,20%
Jiří Procházka vs Glover Teixeira,Jiří Procházka,Glover Teixeira,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,yes,Main Event,28,33,3,7,1,0,29,42,Held by Teixeira,Czech Republic,,36%,64%
Valentina Shevchenko vs Taila Santos,Valentina Shevchenko,Taila Santos,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,yes,Co-Main Event,22,19,3,1,0,0,34,28,Held by Shevchenko,Kyrgyzstan,Brazil,6%,94%
Weili Zhang vs Joanna Jędrzejczyk,Weili Zhang,Joanna Jędrzejczyk,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,no,Main Card,21,16,3,4,0,0,32,34,,China,Poland,61%,39%
Jake Matthews vs Andre Fialho,Jake Matthews,Andre Fialho,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,no,Main Card,17,16,5,4,0,0,27,28,,Australia,Portugal,77%,23%
Jack Della Maddalena vs Ramazan Emeev,Jack Della Maddalena,Ramazan Emeev,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,no,Main Card,11,20,2,5,0,0,25,35,,Australia,Russia,20%,80%
Josh Culibao vs Seung Woo Choi,Josh Culibao,Seung Woo Choi,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,no,Preliminary Card,9,10,1,4,1,0,28,29,,Australia,South Korea,85%,15%
Maheshate Hayisaer vs Steve Garcia,Maheshate Hayisaer,Steve Garcia,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,no,Preliminary Card,8,12,1,4,0,0,22,30,,China,United States,22%,78%
Brendan Allen vs Jacob Malkoun,Brendan Allen,Jacob Malkoun,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,no,Preliminary Card,18,6,5,1,0,0,26,26,,United States,Australia,86%,14%
Kyung Ho Kang vs Batgerel Danaa,Kyung Ho Kang,Batgerel Danaa,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,no,Preliminary Card,17,12,9,3,0,0,34,32,,South Korea,Mongolia,74%,26%
Silvana Gómez Juárez vs Na Liang,Silvana Gómez Juárez,Na Liang,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,no,Preliminary Card,10,19,4,5,0,0,37,25,,Argentina,China,76%,24%
Joselyne Edwards vs Ramona Pascual,Joselyne Edwards,Ramona Pascual,UFC 275: Teixeira vs. Procházka,06.11.2022,Singapore Indoor Stadium,no,Preliminary Card,10,6,4,3,0,0,26,33,,Panama,Hong Kong,32%,68%
Alexander Volkov vs Jairzinho Rozenstruik,Alexander Volkov,Jairzinho Rozenstruik,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Main Event,34,12,10,3,0,0,33,34,,Russia,Suriname,65%,35%
Movsar Evloev vs Dan Ige,Movsar Evloev,Dan Ige,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Co-Main Event,15,15,0,5,0,0,28,30,,Russia,United States,85%,15%
Lucas Almeida vs Michael Trizano,Lucas Almeida,Michael Trizano,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Main Card,13,9,1,2,0,0,31,30,,Brazil,United States,76%,24%
Karine Silva vs Poliana Botelho,Karine Silva,Poliana Botelho,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Main Card,14,8,4,4,0,0,28,33,,Brazil,Brazil,20%,80%
Ode Osbourne vs Zarrukh Adashev,Ode Osbourne,Zarrukh Adashev,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Main Card,10,4,4,3,0,0,30,29,,United States,Uzbekistan,90%,10%
Alonzo Menifield vs Askar Mozharov,Alonzo Menifield,Askar Mozharov,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Main Card,11,17,3,13,0,0,34,27,,United States,Ukraine,28%,72%
Karolina Kowalkiewicz vs Felice Herrig,Karolina Kowalkiewicz,Felice Herrig,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Preliminary Card,12,14,7,9,0,0,36,37,,Poland,United States,40%,60%
Joe Solecki vs Alex da Silva,Joe Solecki,Alex da Silva,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Preliminary Card,11,21,3,3,0,0,28,26,,United States,Brazil,81%,19%
Damon Jackson vs Dan Argueta,Damon Jackson,Dan Argueta,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Preliminary Card,20,8,4,0,1,0,33,28,,United States,United States,12%,88%
Benoit Saint-Denis vs Niklas Stolze,Benoit Saint-Denis,Niklas Stolze,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Preliminary Card,8,12,1,5,0,0,26,29,,France,Germany,16%,84%
Tony Gravely vs Johnny Munoz Jr.,Tony Gravely,Johnny Munoz Jr.,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Preliminary Card,22,11,7,1,0,0,30,29,,United States,United States,33%,67%
Jeff Molina vs Zhalgas Zhumagulov,Jeff Molina,Zhalgas Zhumagulov,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Preliminary Card,10,14,2,6,0,0,24,33,,United States,Kazakhstan,85%,15%
Rinat Fakhretdinov vs Andreas Michailidis,Rinat Fakhretdinov,Andreas Michailidis,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Preliminary Card,19,13,2,5,0,0,30,33,,Russia,Greece,91%,9%
Erin Blanchfield vs JJ Aldrich,Erin Blanchfield,JJ Aldrich,UFC Fight Night: Volkov vs. Rozenstruik,06.04.2022,UFC APEX,no,Preliminary Card,8,11,1,4,0,0,23,29,,United States,United States,91%,9%
Ketlen Vieira vs Holly Holm,Ketlen Vieira,Holly Holm,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Main Event,12,14,2,5,0,0,30,40,,Brazil,United States,18%,82%
Michel Pereira vs Santiago Ponzinibbio,Michel Pereira,Santiago Ponzinibbio,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Co-Main Event,27,28,11,5,0,0,28,35,,Brazil,Argentina,33%,67%
Chidi Njokuani vs Duško Todorović,Chidi Njokuani,Duško Todorović,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Main Card,21,11,7,2,0,0,33,28,,United States,Serbia,12%,88%
Tabatha Ricci vs Polyana Viana,Tabatha Ricci,Polyana Viana,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Main Card,6,12,1,4,0,0,27,29,,Brazil,Brazil,53%,47%
Jun Yong Park vs Eryk Anders,Jun Yong Park,Eryk Anders,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Main Card,13,14,5,6,0,0,31,35,,South Korea,United States,63%,37%
Joseph Holmes vs Alen Amedovski,Joseph Holmes,Alen Amedovski,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Preliminary Card,7,8,2,2,0,0,26,34,,United States,North Macedonia,12%,88%
Jailton Almeida vs Parker Porter,Jailton Almeida,Parker Porter,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Preliminary Card,15,13,2,6,0,0,30,37,,Brazil,United States,91%,9%
Uros Medic vs Omar Morales,Uros Medic,Omar Morales,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Preliminary Card,7,11,1,2,0,0,29,36,,Serbia,Venezuela,61%,39%
Jonathan Martinez vs Vince Morales,Jonathan Martinez,Vince Morales,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Preliminary Card,15,11,4,5,0,0,28,31,,United States,United States,86%,14%
Chase Hooper vs Felipe Colares,Chase Hooper,Felipe Colares,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Preliminary Card,10,10,2,3,1,0,22,28,,United States,Brazil,60%,40%
Sam Hughes vs Elise Reed,Sam Hughes,Elise Reed,UFC Fight Night: Holm vs. Vieira,05.21.2022,UFC APEX,no,Preliminary Card,6,5,4,1,0,0,29,29,,United States,United States,80%,20%
Jan Błachowicz vs Aleksandar Rakić,Jan Błachowicz,Aleksandar Rakić,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Main Event,28,14,9,2,0,0,39,30,,Poland,Serbia,49%,51%
Ryan Spann vs Ion Cutelaba,Ryan Spann,Ion Cutelaba,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Co-Main Event,19,16,7,6,0,1,30,28,,United States,Moldova,75%,25%
Davey Grant vs Louis Smolka,Davey Grant,Louis Smolka,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Main Card,11,17,6,8,0,0,36,30,,United Kingdom,United States,88%,12%
Katlyn Chookagian vs Amanda Ribas,Katlyn Chookagian,Amanda Ribas,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Main Card,17,10,4,2,0,0,33,28,,United States,Brazil,75%,25%
Manuel Torres vs Frank Camacho,Manuel Torres,Frank Camacho,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Main Card,12,22,2,9,0,0,27,32,,Mexico,Northern Mariana Islands,18%,82%
Allan Nascimento vs Jake Hadley,Allan Nascimento,Jake Hadley,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Main Card,18,8,6,0,0,0,30,25,,Brazil,England,83%,17%
Viviane Araujo vs Andrea Lee,Viviane Araujo,Andrea Lee,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Preliminary Card,10,13,3,5,0,0,35,33,,Brazil,United States,30%,70%
Michael Johnson vs Alan Patrick,Michael Johnson,Alan Patrick,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Preliminary Card,19,15,17,3,0,0,35,38,,United States,Brazil,74%,26%
Virna Jandiroba vs Angela Hill,Virna Jandiroba,Angela Hill,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Preliminary Card,17,13,3,11,0,0,33,37,,Brazil,United States,63%,37%
Tatsuro Taira vs Carlos Candelario,Tatsuro Taira,Carlos Candelario,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Preliminary Card,10,8,0,1,0,0,22,30,,Japan,United States,8%,92%
Andre Petroski vs Nick Maximov,Andre Petroski,Nick Maximov,UFC Fight Night: Błachowicz vs. Rakić,05.14.2022,UFC APEX,no,Preliminary Card,7,8,1,0,0,0,30,24,,United States,United States,87%,13%
Charles Oliveira vs Justin Gaethje,Charles Oliveira,Justin Gaethje,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,yes,Main Event,32,23,8,3,0,0,32,33,Vacant,Brazil,United States,58%,42%
Carla Esparza vs Rose Namajunas,Carla Esparza,Rose Namajunas,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,yes,Co-Main Event,18,11,6,4,0,0,34,29,Held by Namajunas,United States,,16%,84%
Michael Chandler vs Tony Ferguson,Michael Chandler,Tony Ferguson,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Main Card,22,25,7,6,0,0,36,38,,United States,,21%,79%
Ovince St. Preux vs Maurício Rua,Ovince St. Preux,Maurício Rua,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Main Card,25,27,16,12,0,1,39,40,,Haiti,Brazil,21%,79%
Randy Brown vs Khaos Williams,Randy Brown,Khaos Williams,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Main Card,14,13,4,2,0,0,31,28,,Jamaica,United States,30%,70%
Francisco Trinaldo vs Danny Roberts,Francisco Trinaldo,Danny Roberts,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Preliminary Card,27,18,8,5,0,0,43,34,,Brazil,United Kingdom,49%,51%
Macy Chiasson vs Norma Dumont,Macy Chiasson,Norma Dumont,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Preliminary Card,7,7,2,1,0,0,30,31,,United States,Brazil,86%,14%
Brandon Royval vs Matt Schnell,Brandon Royval,Matt Schnell,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Preliminary Card,13,15,6,5,0,0,29,32,,United States,United States,91%,9%
Blagoy Ivanov vs Marcos Rogério de Lima,Blagoy Ivanov,Marcos Rogério de Lima,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Preliminary Card,18,19,4,7,0,1,35,36,,Bulgaria,Brazil,72%,28%
Andre Fialho vs Cameron VanCamp,Andre Fialho,Cameron VanCamp,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Preliminary Card,15,15,4,5,0,1,28,29,,Portugal,United States,94%,6%
Tracy Cortez vs Melissa Gatto,Tracy Cortez,Melissa Gatto,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Preliminary Card,9,8,1,0,0,2,28,26,,United States,Brazil,42%,58%
CJ Vergara vs Kleydson Rodrigues,CJ Vergara,Kleydson Rodrigues,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Preliminary Card,9,7,3,1,1,0,30,26,,United States,Brazil,86%,14%
Lupita Godinez vs Ariane Carnelossi,Lupita Godinez,Ariane Carnelossi,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Preliminary Card,7,14,2,2,0,0,28,29,,Mexico,Brazil,43%,57%
Journey Newson vs Fernie Garcia,Journey Newson,Fernie Garcia,UFC 274: Oliveira vs. Gaethje,05.07.2022,Footprint Center,no,Preliminary Card,9,10,3,1,0,0,33,30,,United States,Mexico,17%,83%
Marlon Vera vs Rob Font,Marlon Vera,Rob Font,UFC Fight Night: Font vs. Vera,04.30.2022,UFC APEX,no,Main Event,20,19,7,5,1,0,29,34,,Ecuador,United States,53%,47%
Andrei Arlovski vs Jake Collier,Andrei Arlovski,Jake Collier,UFC Fight Night: Font vs. Vera,04.30.2022,UFC APEX,no,Co-Main Event,33,13,20,6,0,0,43,33,,Belarus,United States,84%,16%
Joanderson Brito vs Andre Fili,Joanderson Brito,Andre Fili,UFC Fight Night: Font vs. Vera,04.30.2022,UFC APEX,no,Main Card,12,21,3,8,1,0,27,31,,Brazil,United States,89%,11%
