name,nickname,wins_x,losses_x,draws_x,height_x,weight_x,reach_x,stance_x,dOB_x,sig_strikes_landed_per_min_x,sig_striking_accuracy_%_x,sig_strike_absorbed_per_min_x,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_x,takedown_average(average_takedown_landed_per_fifteen_min)_x,takedown_accuracy_%_x,takedown_defense(%_of_opponent_takedown_not_landed)_x,sub_average(average_subs_attempted_per_15_mins)_x,wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge,wins,losses,draws,height,weight_y,reach,stance_y,dOB_y,sig_strikes_landed_per_min_y,sig_striking_accuracy_%_y,sig_strike_absorbed_per_min_y,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_y,takedown_average(average_takedown_landed_per_fifteen_min)_y,takedown_accuracy_%_y,takedown_defense(%_of_opponent_takedown_not_landed)_y,sub_average(average_subs_attempted_per_15_mins)_y
Daniel Puder,!,8.0,0.0,0,"6' 3""",235 lbs.,--,Orthodox,9-Oct-81,2.77,68%,1.17,38%,1.21,50%,81%,9.0,,,,,,,,,,,,,,,,,,,,left_only,8,0,0,"6' 3""",235 lbs.,--,Orthodox,9-Oct-81,2.77,68%,1.17,38%,1.21,50%,81%,9.0
Daniel Schmitt,!,2.0,3.0,0,--,185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,3,0,--,185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Daniel Straus,!,24.0,7.0,0 (1 NC),"5' 7""",145 lbs.,"71""",,27-Jul-84,4.76,43%,2.99,57%,0.84,15%,81%,1.1,,,,,,,,,,,,,,,,,,,,left_only,24,7,0 (1 NC),"5' 7""",145 lbs.,"71""",,27-Jul-84,4.76,43%,2.99,57%,0.84,15%,81%,1.1
Daniel Weichel,The Weasel,39.0,9.0,0,"5' 10""",145 lbs.,"70""",,22-Nov-84,5.71,42%,4.05,61%,0.84,50%,83%,0.0,,,,,,,,,,,,,,,,,,,,left_only,39,9,0,"5' 10""",145 lbs.,"70""",,22-Nov-84,5.71,42%,4.05,61%,0.84,50%,83%,0.0
Danny Davis,!,13.0,11.0,1,"6' 2""",170 lbs.,--,,28-Jul-82,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,11,1,"6' 2""",170 lbs.,--,,28-Jul-82,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Danny Downes,!,8.0,3.0,0,"6' 0""",155 lbs.,"72""",Orthodox,8-Apr-86,1.66,34%,3.53,37%,0.0,0%,37%,0.5,,,,,,,,,,,,,,,,,,,,left_only,8,3,0,"6' 0""",155 lbs.,"72""",Orthodox,8-Apr-86,1.66,34%,3.53,37%,0.0,0%,37%,0.5
Danny Mitchell,The Cheesecake Assassin,19.0,9.0,1,"6' 2""",170 lbs.,--,Orthodox,8-Aug-86,2.53,49%,2.53,52%,0.0,0%,100%,3.0,,,,,,,,,,,,,,,,,,,,left_only,19,9,1,"6' 2""",170 lbs.,--,Orthodox,8-Aug-86,2.53,49%,2.53,52%,0.0,0%,100%,3.0
Danny Navarro,!,17.0,7.0,0,"5' 10""",155 lbs.,--,,27-May-83,3.83,32%,4.62,57%,2.17,25%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,7,0,"5' 10""",155 lbs.,--,,27-May-83,3.83,32%,4.62,57%,2.17,25%,100%,0.0
Darrell Montague,Mongoose,13.0,5.0,0,"5' 6""",125 lbs.,"67""",Southpaw,3-Nov-87,1.92,25%,5.38,52%,0.72,25%,33%,1.4,,,,,,,,,,,,,,,,,,,,left_only,13,5,0,"5' 6""",125 lbs.,"67""",Southpaw,3-Nov-87,1.92,25%,5.38,52%,0.72,25%,33%,1.4
Darrick Minner,!,26.0,14.0,0,"5' 7""",145 lbs.,"69""",Orthodox,28-Apr-90,2.63,65%,2.28,35%,2.4,72%,66%,2.7,,,,,,,,,,,,,,,,,,,,left_only,26,14,0,"5' 7""",145 lbs.,"69""",Orthodox,28-Apr-90,2.63,65%,2.28,35%,2.4,72%,66%,2.7
