name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Landon Quinones,The Lone Wolf,7.0,3.0,1,28.0,17,0.0,0.4,0.5,0.33,0.0,69,70,1.0,6.77,15.0,7.7,0.55,1.0
Lara Procopio,615,7.0,2.0,0,28.0,57,0.0,0.58,3.15,0.47,0.3,64,67,0.0,5.64,14.3,6.5,0.47,0.5
Laureano Staropoli,Pepi,9.0,5.0,0,31.0,81,0.0,0.34,0.83,0.26,0.0,73,71,0.0,3.31,15.0,3.73,0.54,0.48
Lauren Mueller,Princess Tiger,5.0,3.0,0,32.0,17,0.0,0.41,0.7,0.5,0.0,65,67,0.0,4.08,12.8,3.77,0.58,0.71
Lauren Murphy,Lucky,16.0,6.0,0,40.0,17,0.07,0.39,1.03,0.25,0.1,65,67,0.0,4.05,14.583333333333334,5.25,0.55,0.69
Lavar Johnson,Big,18.0,10.0,0,47.0,17,0.92,0.55,0.61,0.66,0.6,76,82,0.0,5.39,5.433333333333334,2.54,0.55,0.54
Lazar Stojadinovic,The Bronx Bomber,12.0,5.0,0,35.0,17,0.0,0.29,0.0,0.0,0.0,67,68,1.0,1.82,6.583333333333333,1.97,0.59,0.0
Leah Letson,Nidas,5.0,3.0,0,31.0,17,0.0,0.41,0.51,0.5,0.0,67,71,1.0,3.06,14.716666666666667,3.84,0.52,0.76
Leandro Issa,Brodinho,13.0,6.0,0,40.0,57,0.0,0.37,2.38,0.22,1.2,67,69,0.0,2.08,12.6,3.17,0.58,0.5
Leandro Silva,Buscape,20.0,6.0,1,38.0,57,0.0,0.48,1.76,0.37,0.4,69,72,0.0,2.39,12.75,2.08,0.63,0.65
Leon Aliu,The Albanian Lion,10.0,2.0,0,34.0,97,0.0,0.5,0.0,0.0,0.0,72,74,0.0,6.32,1.5833333333333335,10.11,0.38,0.0
Leon Edwards,Rocky,22.0,3.0,0,32.0,93,0.26,0.53,1.25,0.34,0.4,74,74,1.0,2.75,16.916666666666668,2.34,0.54,0.7
Leon Shahbazyan,703,7.0,2.0,0,28.0,17,1.46,0.52,1.46,0.5,0.0,76,74,0.0,6.33,10.266666666666667,8.18,0.32,0.0
Leonard Garcia,Bad Boy,18.0,13.0,1,44.0,17,0.3,0.24,0.3,0.26,0.5,70,68,0.0,2.77,11.7,4.79,0.52,0.42
Leonardo Damiani,Puppy,10.0,3.0,1,33.0,97,0.0,0.23,0.0,0.0,0.0,70,69,0.0,1.67,2.4,4.17,0.37,0.5
Leonardo Mafra,Macarrao,13.0,4.0,0,35.0,57,0.0,0.48,2.12,0.83,0.4,70,70,0.0,4.55,8.85,4.38,0.43,0.69
Leonardo Santos,681,18.0,7.0,1,44.0,57,0.38,0.46,0.88,0.25,0.2,72,75,0.0,2.82,10.833333333333334,3.4,0.54,0.86
Lerone Murphy,The Miracle,14.0,0.0,1,32.0,13,0.32,0.54,1.59,0.52,0.6,69,73,0.0,5.01,13.5,2.6,0.6,0.46
Leslie Smith,The Peacemaker,10.0,7.0,1,41.0,17,0.48,0.4,0.0,0.0,0.0,69,66,0.0,7.56,9.016666666666667,8.41,0.51,0.62
Levan Makashvili,The Hornet,15.0,2.0,1,35.0,17,0.0,0.54,3.67,0.42,0.0,68,68,0.0,2.87,15.0,2.07,0.61,0.85
Li Jingliang,The Leech,19.0,8.0,0,36.0,18,0.83,0.42,1.25,0.41,0.0,72,71,0.0,4.46,10.616666666666667,3.84,0.57,0.6
Liana Jojua,She Wolf,8.0,5.0,0,29.0,89,0.0,0.3,1.71,0.66,1.3,64,62,0.0,2.42,8.783333333333333,5.32,0.54,0.5
Liang Na,The Dragon Girl,19.0,8.0,0,27.0,18,0.0,0.42,3.6,0.58,0.5,65,67,0.0,1.99,7.283333333333333,3.95,0.36,0.25
Liliya Shakirova,704,8.0,2.0,0,32.0,97,0.0,0.3,0.0,0.0,0.0,64,65,0.0,2.7,8.516666666666667,2.58,0.74,0.0
